x,U_0,U_1,U_2
-0.152,-1.01631e-13,3.55956e-14,0
-0.14945,-5.46613e-14,3.82551e-14,0
-0.1464,2.66498e-14,1.00614e-14,0
-0.14335,5.98378e-14,-2.81931e-14,0
-0.1403,8.457e-14,-3.45938e-14,0
-0.13725,5.96217e-14,-5.41392e-15,0
-0.1342,-3.00506e-14,-3.37866e-15,0
-0.13115,-4.12512e-14,-5.00214e-14,0
-0.1281,2.43948e-14,-6.87159e-14,0
-0.12505,1.10786e-14,-5.99554e-14,0
-0.122,1.39276e-15,-5.39439e-14,0
-0.11895,3.02756e-14,-5.0847e-14,0
-0.1159,6.88104e-15,-1.72153e-14,0
-0.11285,8.50371e-14,3.38133e-14,3.56192e-34
-0.1098,1.28249e-13,6.25357e-14,3.56192e-34
-0.10675,7.57432e-14,5.12686e-14,0
-0.1037,4.84197e-14,4.97394e-14,0
-0.10065,-2.72102e-14,5.12881e-14,0
-0.0976,-1.10998e-14,4.29042e-14,0
-0.09455,4.06959e-14,4.54545e-14,0
-0.0915,5.87555e-14,3.56424e-14,0
-0.08845,9.11092e-14,5.00092e-14,0
-0.0854,1.43986e-14,4.25669e-14,0
-0.08235,-9.50198e-15,9.24078e-15,0
-0.0793,7.83272e-14,-3.93512e-14,0
-0.07625,1.46619e-13,-6.89874e-14,0
-0.0732,1.74427e-13,-6.52019e-14,0
-0.07015,2.13142e-13,-5.97824e-14,0
-0.0671,1.17814e-12,4.3306e-16,0
-0.06405,1.96615e-11,3.93506e-13,0
-0.061,3.98305e-10,7.00502e-12,0
-0.05795,8.31409e-09,1.42229e-10,-1.04635e-34
-0.0549,1.71792e-07,2.8372e-09,-1.04635e-34
-0.05185,3.51572e-06,5.56592e-08,0
-0.0488,7.17181e-05,1.07116e-06,0
-0.04575,0.00148288,2.0002e-05,0
-0.0427,0.030766,0.000344379,1.04911e-34
-0.03965,0.497869,0.00454244,1.04911e-34
-0.0366,4.01628,0.0313257,0
-0.03355,15.0769,0.100617,-1.05562e-34
-0.0305,33.7429,0.188783,-1.05562e-34
-0.02745,55.8557,0.253884,0
-0.0244,78.8299,0.2808,0
-0.02135,101.891,0.273667,8.5464e-35
-0.0183,124.83,0.24557,8.54642e-35
-0.01525,147.509,0.206844,0
-0.0122,169.746,0.150187,0
-0.00915,191.335,0.116439,0
-0.0061,212.065,0.03651,0
-0.00305,231.435,0.0277075,0
-8.27181e-25,246.859,0.010771,0
0.00305,254.822,0.00500893,0
0.0061,255.386,0.0943392,0
0.00915,255.231,0.0536598,0
0.0122,257.193,0.145696,0
0.01525,257.452,0.313064,-2.87634e-35
0.0183,257.465,0.361599,6.38795e-36
0.02135,258.422,0.41395,3.51512e-35
0.0244,258.746,0.468309,0
0.02745,258.545,0.539102,-1.3433e-34
0.0305,258.019,0.427065,-1.34329e-34
0.03355,257.62,0.0627059,0
0.0366,257.247,-0.247962,0
0.03965,254.804,-0.580845,0
0.0427,244.414,-1.04316,0
0.04575,207.837,-1.32591,0
0.0488,118.591,-0.95492,0
0.05185,30.1008,-0.282739,0
0.0549,1.27025,-0.0138448,0
0.05795,0.016089,-0.000307009,0
0.061,0.000287181,-6.66082e-06,0
0.06405,5.90554e-06,-1.4349e-07,-3.74924e-35
0.0671,1.22499e-07,-3.07519e-09,-3.74925e-35
0.07015,2.53997e-09,-6.56434e-11,0
0.0732,5.26604e-11,-1.36746e-12,0
0.07625,8.73176e-13,-2.28706e-14,0
0.0793,-6.00602e-14,-3.51932e-14,0
0.08235,7.77855e-14,-4.32494e-14,0
0.0854,1.06717e-13,-2.51916e-14,0
0.08845,8.31136e-14,-4.33753e-15,0
0.0915,7.25212e-14,3.37054e-14,0
0.09455,9.86555e-14,4.18459e-14,0
0.0976,1.45589e-13,-2.60697e-14,0
0.10065,1.26014e-13,-6.93415e-14,0
0.1037,8.76213e-14,-5.57596e-14,0
0.10675,4.93608e-14,-5.55907e-14,0
0.1098,4.3466e-14,-6.18425e-14,0
0.11285,6.17079e-14,-2.79226e-14,0
0.1159,1.88775e-14,4.03329e-14,0
0.11895,1.25961e-14,7.14624e-14,0
0.122,8.49361e-15,5.07905e-14,0
0.12505,-8.8192e-14,1.16223e-14,-1.27883e-34
0.1281,-1.0877e-13,-1.60277e-14,-1.27883e-34
0.13115,-4.82766e-14,-1.10205e-14,-3.54906e-35
0.1342,-2.29987e-14,1.71678e-14,-3.54905e-35
0.13725,-1.15762e-14,6.23838e-14,0
0.1403,-1.22525e-14,1.101e-13,0
0.14335,-4.96986e-14,1.22087e-13,0
0.1464,-9.75816e-14,1.18519e-13,0
0.14945,-1.02302e-13,1.3585e-13,0
0.152,-8.80682e-14,1.50613e-13,0
