x,p,T,maxKappa,minKappa
-0.152,68970,288.89,0.163934,0.163934
-0.14945,68970,288.89,1,1
-0.1464,68970,288.89,1,1
-0.14335,68970,288.89,1,1
-0.1403,68970,288.89,1,1
-0.13725,68970,288.89,1,1
-0.1342,68970,288.89,1,1
-0.13115,68970,288.89,1,1
-0.1281,68970,288.89,1,1
-0.12505,68970,288.89,1,1
-0.122,68970,288.89,1,1
-0.11895,68970,288.89,1,1
-0.1159,68970,288.89,1,1
-0.11285,68970,288.89,1,1
-0.1098,68970,288.89,1,1
-0.10675,68970,288.89,1,1
-0.1037,68970,288.89,1,1
-0.10065,68970,288.89,1,1
-0.0976,68970,288.89,1,1
-0.09455,68969.3,288.889,1,1
-0.0915,68957.9,288.878,1,1
-0.08845,68831.3,288.735,1,1
-0.0854,68157.9,287.97,1,1
-0.08235,66468.2,286.02,1,1
-0.0793,63989.7,283.048,1,1
-0.07625,61325.7,279.686,1,1
-0.0732,58766,276.312,1,1
-0.07015,56341.2,272.995,1,1
-0.0671,54018.7,269.698,1,1
-0.06405,51784,266.426,1,1
-0.061,49636.5,263.214,1,1
-0.05795,47568,260.048,1,1
-0.0549,45568.7,256.889,1,1
-0.05185,43633.9,253.724,1,1
-0.0488,41765.5,250.565,1,1
-0.04575,39966.4,247.428,1,1
-0.0427,38237.4,244.32,1,1
-0.03965,36578.3,241.244,1,1
-0.0366,34988,238.2,1,1
-0.03355,33464.9,235.19,1,1
-0.0305,32006.7,232.215,1,1
-0.02745,30610.8,229.274,1,1
-0.0244,29272.2,226.362,1,1
-0.02135,27983.6,223.461,1,1
-0.0183,26740.4,220.562,1,1
-0.01525,25553.2,217.699,1,1
-0.0122,24442.6,214.929,1,1
-0.00915,23446.9,212.373,1,1
-0.0061,22658.3,210.294,1,1
-0.00305,22143.9,208.906,1,1
-8.27181e-25,21896.8,208.227,1,1
0.00305,21807.3,207.978,1,1
0.0061,21742.9,207.8,1,1
0.00915,21673.2,207.592,1,1
0.0122,21628.9,207.405,1,1
0.01525,21619.1,207.301,1,1
0.0183,21617.8,207.275,1,1
0.02135,21617.7,207.286,1,1
0.0244,21616.2,207.291,1,1
0.02745,21616.6,207.255,1,1
0.0305,21618,207.096,1,1
0.03355,21618.8,206.681,1,1
0.0366,21623.1,206.013,1,1
0.03965,21628.7,205.523,1,1
0.0427,21631.7,205.506,1,1
0.04575,21633.7,206.103,1,1
0.0488,21636,208.006,1,1
0.05185,21636.2,212.34,1,1
0.0549,21636.2,220.391,1,1
0.05795,21636.6,233.2,1,1
0.061,21638.2,250.921,1,1
0.06405,21640.2,272.189,1,1
0.0671,21639.9,293.959,1,1
0.07015,21639.4,312.401,1,1
0.0732,21640.8,324.707,1,1
0.07625,21641.5,330.677,1,1
0.0793,21641.7,332.526,1,1
0.08235,21640.8,332.8,1,1
0.0854,21638.7,332.768,1,1
0.08845,21636,332.644,1,1
0.0915,21632.6,332.419,1,1
0.09455,21628.6,332.148,1,1
0.0976,21623.7,331.911,1,1
0.10065,21616.9,331.748,1,1
0.1037,21603.9,331.636,1,1
0.10675,21568.4,331.474,1,1
0.1098,21440.9,330.86,1,1
0.11285,20942.7,328.206,1,1
0.1159,19125.6,318.078,1,1
0.11895,14508.6,290.141,1,1
0.122,9300.27,252.525,1,1
0.12505,7098.35,233.017,1,1
0.1281,6902.29,231.133,1,1
0.13115,6897.11,231.101,1,1
0.1342,6897,231.1,1,1
0.13725,6897,231.1,1,1
0.1403,6897,231.1,1,1
0.14335,6897,231.1,1,1
0.1464,6897,231.1,1,1
0.14945,6897,231.1,1,1
0.152,6897,231.1,0.163934,0.163934
