x,U_0,U_1,U_2
-0.152,-6.27653e-14,1.29976e-14,0
-0.14945,-4.9511e-14,6.95838e-15,0
-0.1464,1.32049e-14,1.37761e-15,0
-0.14335,3.88069e-14,5.41626e-15,0
-0.1403,-8.01648e-15,5.73131e-15,0
-0.13725,-4.18363e-14,2.34072e-14,0
-0.1342,-3.03524e-14,3.98686e-14,0
-0.13115,1.42127e-15,2.44183e-15,0
-0.1281,-7.58163e-15,-7.07254e-14,0
-0.12505,4.91026e-14,-1.44458e-13,0
-0.122,1.12513e-13,-1.45602e-13,0
-0.11895,3.13827e-14,-1.01145e-13,0
-0.1159,-1.84665e-14,-9.44568e-14,0
-0.11285,4.08148e-14,-9.30841e-14,-3.95258e-34
-0.1098,5.09081e-14,-8.77228e-14,-3.95258e-34
-0.10675,-2.84617e-14,-8.57386e-14,0
-0.1037,-2.42501e-14,-7.77846e-14,0
-0.10065,2.5129e-14,-4.10565e-14,0
-0.0976,-3.35779e-14,-1.61695e-14,0
-0.09455,-8.25037e-14,-1.19414e-14,0
-0.0915,-6.01021e-14,-2.89437e-14,0
-0.08845,5.73207e-14,-5.97598e-14,0
-0.0854,1.44466e-13,-6.25891e-14,0
-0.08235,6.14018e-15,-3.01039e-14,0
-0.0793,-1.5102e-13,-8.32559e-15,0
-0.07625,-1.56389e-13,-3.34166e-14,0
-0.0732,-5.06608e-14,-4.68764e-14,0
-0.07015,4.84661e-14,4.45345e-15,0
-0.0671,6.12738e-14,9.44757e-14,0
-0.06405,6.2051e-14,1.12148e-13,0
-0.061,4.74664e-14,7.25062e-14,0
-0.05795,-9.47936e-15,6.90103e-14,4.43738e-34
-0.0549,-1.69248e-14,1.04122e-13,4.43738e-34
-0.05185,1.01624e-13,1.23445e-13,0
-0.0488,1.73835e-12,1.43345e-13,0
-0.04575,4.22471e-11,7.07474e-13,0
-0.0427,1.06184e-09,1.53338e-11,9.56865e-35
-0.03965,2.61726e-08,3.56277e-10,9.56867e-35
-0.0366,6.30991e-07,8.06477e-09,0
-0.03355,1.49302e-05,1.7717e-07,-9.61621e-35
-0.0305,0.000350992,3.75771e-06,-9.61623e-35
-0.02745,0.00838832,7.52738e-05,0
-0.0244,0.186633,0.00129357,0
-0.02135,2.51158,0.0140336,9.54381e-35
-0.0183,14.5588,0.0669288,9.54384e-35
-0.01525,42.3713,0.154978,0
-0.0122,80.8565,0.219263,0
-0.00915,122.141,0.221044,0
-0.0061,162.562,0.165059,0
-0.00305,198.773,0.10871,0
-8.27181e-25,228.629,-0.00781265,0
0.00305,251.157,0.0306797,0
0.0061,254.774,0.227617,0
0.00915,253.161,0.344395,0
0.0122,258.264,0.274856,0
0.01525,259.136,0.0304229,4.54702e-35
0.0183,252.973,-0.306107,-2.02487e-36
0.02135,220.287,-0.693489,-4.74952e-35
0.0244,132.326,-0.64598,0
0.02745,37.3591,-0.228378,3.15765e-35
0.0305,1.79661,-0.0129126,3.15766e-35
0.03355,0.020662,-0.000266551,0
0.0366,0.000322598,-5.35687e-06,0
0.03965,6.05916e-06,-1.06829e-07,0
0.0427,1.15297e-07,-2.11957e-09,0
0.04575,2.1979e-09,-4.19565e-11,0
0.0488,4.1964e-11,-8.00859e-13,0
0.05185,7.10931e-13,8.92511e-15,0
0.0549,-1.66302e-13,9.48788e-15,0
0.05795,-1.00869e-13,-9.06913e-15,0
0.061,-5.50305e-14,2.93659e-14,0
0.06405,-6.32736e-14,9.43998e-14,-5.25126e-35
0.0671,-2.29023e-14,1.38966e-13,-5.25127e-35
0.07015,-2.78396e-14,1.25546e-13,0
0.0732,-2.58864e-14,8.16452e-14,0
0.07625,-5.16125e-15,5.09738e-14,0
0.0793,-1.02128e-14,3.19644e-14,0
0.08235,7.52219e-15,2.25856e-14,0
0.0854,2.9193e-14,-1.00721e-14,0
0.08845,9.49283e-14,-2.22641e-14,0
0.0915,1.66308e-13,-6.55632e-15,0
0.09455,1.50591e-13,-1.08589e-14,0
0.0976,1.11105e-13,-1.37952e-14,0
0.10065,8.06467e-14,-1.36938e-14,0
0.1037,1.03475e-14,-1.32379e-14,0
0.10675,-2.7218e-14,-1.20077e-14,0
0.1098,-5.12516e-14,-1.79491e-14,0
0.11285,-1.30872e-13,-2.83587e-14,0
0.1159,-1.67113e-13,-4.00512e-14,0
0.11895,-1.33809e-13,-3.81398e-14,0
0.122,-8.19575e-14,-1.0736e-14,0
0.12505,7.35226e-15,1.50651e-14,-8.10982e-35
0.1281,1.02378e-13,4.59442e-14,-8.10981e-35
0.13115,1.08312e-13,8.38644e-14,-1.43905e-35
0.1342,6.12197e-14,1.11157e-13,-1.43905e-35
0.13725,4.39083e-14,1.25222e-13,0
0.1403,3.49621e-14,1.05145e-13,0
0.14335,1.9084e-14,9.1683e-14,0
0.1464,1.72143e-14,1.00738e-13,0
0.14945,2.46379e-15,1.15991e-13,0
0.152,-1.04447e-14,1.21806e-13,0
