x,p,T,maxKappa,minKappa
-0.152,68970,288.89,0.163934,0.163934
-0.14945,68970,288.89,1,1
-0.1464,68970,288.89,1,1
-0.14335,68970,288.89,1,1
-0.1403,68970,288.89,1,1
-0.13725,68970,288.89,1,1
-0.1342,68970,288.89,1,1
-0.13115,68970,288.89,1,1
-0.1281,68970,288.89,1,1
-0.12505,68970,288.89,1,1
-0.122,68970,288.89,1,1
-0.11895,68970,288.89,1,1
-0.1159,68970,288.89,1,1
-0.11285,68970,288.89,1,1
-0.1098,68970,288.89,1,1
-0.10675,68970,288.89,1,1
-0.1037,68970,288.89,1,1
-0.10065,68970,288.89,1,1
-0.0976,68970,288.89,1,1
-0.09455,68970,288.89,1,1
-0.0915,68970,288.89,1,1
-0.08845,68970,288.89,1,1
-0.0854,68970,288.89,1,1
-0.08235,68970,288.89,1,1
-0.0793,68970,288.89,1,1
-0.07625,68970,288.89,1,1
-0.0732,68970,288.89,1,1
-0.07015,68970,288.89,1,1
-0.0671,68970,288.89,1,1
-0.06405,68970,288.89,1,1
-0.061,68970,288.89,1,1
-0.05795,68970,288.89,1,1
-0.0549,68970,288.89,1,1
-0.05185,68970,288.89,1,1
-0.0488,68970,288.89,1,1
-0.04575,68970,288.89,1,1
-0.0427,68970,288.89,1,1
-0.03965,68970,288.89,1,1
-0.0366,68970,288.89,1,1
-0.03355,68970,288.89,1,1
-0.0305,68969.9,288.89,1,1
-0.02745,68966.9,288.888,1,1
-0.0244,68913.6,288.83,1,1
-0.02135,68313.2,288.137,1,1
-0.0183,65372.8,284.651,1,1
-0.01525,58742.3,276.219,1,1
-0.0122,50036.8,263.71,1,1
-0.00915,41674.3,249.421,1,1
-0.0061,34621.2,234.441,1,1
-0.00305,28984.8,220.07,1,1
-8.27181e-25,24880.1,211.19,1,1
0.00305,22125.1,211.325,1,1
0.0061,21643.9,222.556,1,1
0.00915,21970.8,245.899,1,1
0.0122,21631.8,278.427,1,1
0.01525,21587,308.529,1,1
0.0183,20950.8,321.708,1,1
0.02135,18394.2,314.94,1,1
0.0244,12951.8,282.061,1,1
0.02745,8238.99,244.742,1,1
0.0305,6959.94,231.709,1,1
0.03355,6898.3,231.107,1,1
0.0366,6897.02,231.1,1,1
0.03965,6897,231.1,1,1
0.0427,6897,231.1,1,1
0.04575,6897,231.1,1,1
0.0488,6897,231.1,1,1
0.05185,6897,231.1,1,1
0.0549,6897,231.1,1,1
0.05795,6897,231.1,1,1
0.061,6897,231.1,1,1
0.06405,6897,231.1,1,1
0.0671,6897,231.1,1,1
0.07015,6897,231.1,1,1
0.0732,6897,231.1,1,1
0.07625,6897,231.1,1,1
0.0793,6897,231.1,1,1
0.08235,6897,231.1,1,1
0.0854,6897,231.1,1,1
0.08845,6897,231.1,1,1
0.0915,6897,231.1,1,1
0.09455,6897,231.1,1,1
0.0976,6897,231.1,1,1
0.10065,6897,231.1,1,1
0.1037,6897,231.1,1,1
0.10675,6897,231.1,1,1
0.1098,6897,231.1,1,1
0.11285,6897,231.1,1,1
0.1159,6897,231.1,1,1
0.11895,6897,231.1,1,1
0.122,6897,231.1,1,1
0.12505,6897,231.1,1,1
0.1281,6897,231.1,1,1
0.13115,6897,231.1,1,1
0.1342,6897,231.1,1,1
0.13725,6897,231.1,1,1
0.1403,6897,231.1,1,1
0.14335,6897,231.1,1,1
0.1464,6897,231.1,1,1
0.14945,6897,231.1,1,1
0.152,6897,231.1,0.163934,0.163934
