x,p,T,maxKappa,minKappa
-0.152,68970,289,0.163934,0.163934
-0.14945,68970,289,1,1
-0.1464,68970,289,1,1
-0.14335,68970,289,1,1
-0.1403,68970,289,1,1
-0.13725,68970,289,1,1
-0.1342,68970,289,1,1
-0.13115,68970,289,1,1
-0.1281,68970,289,1,1
-0.12505,68970,289,1,1
-0.122,68970,289,1,1
-0.11895,68970,289,1,1
-0.1159,68970,289,1,1
-0.11285,68970,289,1,1
-0.1098,68970,289,1,1
-0.10675,68970,289,1,1
-0.1037,68970,289,1,1
-0.10065,68970,289,1,1
-0.0976,68970,289,1,1
-0.09455,68970,289,1,1
-0.0915,68970,289,1,1
-0.08845,68970,289,1,1
-0.0854,68970,289,1,1
-0.08235,68970,289,1,1
-0.0793,68969.9,289,1,1
-0.07625,68957.7,288.977,1,1
-0.0732,68750.4,288.674,1,1
-0.07015,67935.4,287.647,1,1
-0.0671,66638.5,286.107,1,1
-0.06405,65485.6,284.733,1,1
-0.061,64711.9,283.778,1,1
-0.05795,64241.8,283.188,1,1
-0.0549,63979,282.857,1,1
-0.05185,63846.2,282.69,1,1
-0.0488,63786,282.612,1,1
-0.04575,63762,282.577,1,1
-0.0427,63753,282.564,1,1
-0.03965,63749.4,282.56,1,1
-0.0366,63748.8,282.563,1,1
-0.03355,63749.1,282.571,1,1
-0.0305,63749,282.577,1,1
-0.02745,63748.5,282.575,1,1
-0.0244,63748.3,282.562,1,1
-0.02135,63748.6,282.534,1,1
-0.0183,63748.8,282.5,1,1
-0.01525,63748.6,282.477,1,1
-0.0122,63748.4,282.486,1,1
-0.00915,63748.3,282.59,1,1
-0.0061,63748.4,282.978,1,1
-0.00305,63748.6,283.953,1,1
-8.27181e-25,63748.7,285.762,1,1
0.00305,63748.7,288.309,1,1
0.0061,63748.6,291.055,1,1
0.00915,63748.6,293.316,1,1
0.0122,63748.8,294.722,1,1
0.01525,63749.1,295.367,1,1
0.0183,63749.2,295.571,1,1
0.02135,63749,295.607,1,1
0.0244,63748.6,295.6,1,1
0.02745,63748.4,295.573,1,1
0.0305,63748.3,295.54,1,1
0.03355,63748.1,295.517,1,1
0.0366,63747.5,295.508,1,1
0.03965,63746.8,295.509,1,1
0.0427,63746.4,295.513,1,1
0.04575,63746,295.519,1,1
0.0488,63743.8,295.519,1,1
0.05185,63738.2,295.513,1,1
0.0549,63722.5,295.489,1,1
0.05795,63677.8,295.426,1,1
0.061,63562.1,295.271,1,1
0.06405,63289.5,294.909,1,1
0.0671,62705.3,294.142,1,1
0.07015,61619.7,292.744,1,1
0.0732,60205.2,290.87,1,1
0.07625,59240.9,289.473,1,1
0.0793,58985,289.034,1,1
0.08235,58970.2,289,1,1
0.0854,58970,289,1,1
0.08845,58970,289,1,1
0.0915,58970,289,1,1
0.09455,58970,289,1,1
0.0976,58970,289,1,1
0.10065,58970,289,1,1
0.1037,58970,289,1,1
0.10675,58970,289,1,1
0.1098,58970,289,1,1
0.11285,58970,289,1,1
0.1159,58970,289,1,1
0.11895,58970,289,1,1
0.122,58970,289,1,1
0.12505,58970,289,1,1
0.1281,58970,289,1,1
0.13115,58970,289,1,1
0.1342,58970,289,1,1
0.13725,58970,289,1,1
0.1403,58970,289,1,1
0.14335,58970,289,1,1
0.1464,58970,289,1,1
0.14945,58970,289,1,1
0.152,58970,289,0.163934,0.163934
