x,U_0,U_1,U_2
-0.152,3.64627e-14,2.55292e-13,0
-0.14945,1.42742e-14,2.21164e-13,0
-0.1464,-7.29957e-14,1.1374e-13,0
-0.14335,-8.50732e-14,5.34391e-14,0
-0.1403,2.26409e-14,3.46311e-14,0
-0.13725,9.4452e-14,4.71781e-15,0
-0.1342,1.02351e-13,-8.95093e-15,0
-0.13115,1.82587e-13,-6.06713e-14,0
-0.1281,3.65481e-13,-1.12487e-13,0
-0.12505,4.32784e-13,-1.04376e-13,0
-0.122,3.8364e-13,-6.91105e-14,0
-0.11895,3.23582e-13,-4.47639e-14,0
-0.1159,2.37696e-13,-2.53225e-14,0
-0.11285,1.53145e-13,-1.28616e-14,-4.89834e-35
-0.1098,8.13284e-14,-4.88882e-14,-4.89836e-35
-0.10675,1.09826e-13,-9.3257e-14,0
-0.1037,1.11573e-13,-1.00759e-13,0
-0.10065,1.26652e-13,-8.5635e-14,0
-0.0976,7.89303e-12,-7.54638e-15,0
-0.09455,2.10108e-10,1.17777e-12,0
-0.0915,5.38597e-09,2.51662e-11,0
-0.08845,1.38717e-07,4.54054e-10,0
-0.0854,3.59953e-06,5.87929e-09,0
-0.08235,9.5911e-05,3.65521e-09,0
-0.0793,0.00266206,-5.93909e-06,0
-0.07625,0.0632976,-0.000236226,0
-0.0732,0.689538,-0.00366183,0
-0.07015,2.9461,-0.0210906,0
-0.0671,6.6711,-0.0516467,0
-0.06405,10.4672,-0.0697565,0
-0.061,13.5142,-0.0680628,0
-0.05795,15.6594,-0.0597977,7.2613e-35
-0.0549,17.0369,-0.0490474,7.26129e-35
-0.05185,17.8408,-0.0366596,0
-0.0488,18.2659,-0.0253197,0
-0.04575,18.4708,-0.0167602,0
-0.0427,18.5617,-0.0100505,1.57587e-34
-0.03965,18.5997,-0.0051541,1.57587e-34
-0.0366,18.6154,-0.00271276,0
-0.03355,18.6219,-0.00229035,-3.1363e-35
-0.0305,18.6246,-0.00191957,-3.13632e-35
-0.02745,18.6263,-0.00203422,0
-0.0244,18.6277,-0.00184934,0
-0.02135,18.6282,-0.00117215,-1.05735e-34
-0.0183,18.6281,-0.00102959,-1.05735e-34
-0.01525,18.6281,-0.000461875,0
-0.0122,18.6288,-3.7916e-05,0
-0.00915,18.629,-0.000129695,0
-0.0061,18.6285,-0.000668521,0
-0.00305,18.6275,-0.00125667,0
-8.27181e-25,18.6273,-0.00203408,0
0.00305,18.6287,-0.00274879,0
0.0061,18.6302,-0.00329129,0
0.00915,18.6301,-0.00371516,0
0.0122,18.6285,-0.00368641,0
0.01525,18.6269,-0.00307391,1.5567e-34
0.0183,18.6261,-0.00237544,-5.895e-35
0.02135,18.6262,-0.00240485,-2.14621e-34
0.0244,18.6257,-0.00145828,0
0.02745,18.6245,-0.000508171,3.99708e-35
0.0305,18.6227,0.000643302,3.99709e-35
0.03355,18.6197,0.00144496,0
0.0366,18.6157,0.000979058,0
0.03965,18.611,0.00123649,0
0.0427,18.6049,0.00135388,0
0.04575,18.5923,0.00484055,0
0.0488,18.5619,0.0119374,0
0.05185,18.4883,0.0197181,0
0.0549,18.3142,0.0309683,0
0.05795,17.9207,0.0475291,0
0.061,17.0856,0.0675354,0
0.06405,15.4399,0.0903289,4.08278e-35
0.0671,12.5417,0.09028,4.08277e-35
0.07015,8.15712,0.0531686,0
0.0732,3.4367,0.0164181,0
0.07625,0.687646,0.00234683,0
0.0793,0.0467568,0.000106453,0
0.08235,0.00164131,9.63461e-07,0
0.0854,5.45105e-05,-5.34145e-08,0
0.08845,1.93288e-06,-4.12775e-09,0
0.0915,6.98788e-08,-2.55515e-10,0
0.09455,2.53673e-09,-1.61477e-11,0
0.0976,9.14025e-11,-4.48494e-12,0
0.10065,9.82261e-13,-2.8116e-12,0
0.1037,-2.40755e-12,-1.6636e-12,0
0.10675,-2.00963e-12,-1.04752e-12,0
0.1098,-1.20933e-12,-5.1727e-13,0
0.11285,-4.25842e-13,-1.67477e-13,0
0.1159,-5.84661e-14,9.5989e-15,0
0.11895,5.4871e-14,2.99027e-14,0
0.122,-3.09525e-14,-3.02365e-14,0
0.12505,-1.80638e-13,-6.22992e-14,8.25417e-35
0.1281,-1.71117e-13,-7.80063e-14,8.25418e-35
0.13115,-4.42255e-14,-9.16405e-14,-4.52566e-36
0.1342,2.27613e-14,-9.86315e-14,-4.52556e-36
0.13725,1.36928e-14,-1.37924e-13,0
0.1403,3.8383e-15,-1.37886e-13,0
0.14335,3.35661e-14,-1.13475e-13,0
0.1464,4.40705e-14,-1.07479e-13,0
0.14945,4.04329e-14,-8.80532e-14,0
0.152,5.17887e-14,-7.6449e-14,0
