x,p,T,maxKappa,minKappa
-0.152,68970,289,0.163934,0.131264
-0.14945,68970,289,1,0.800712
-0.1464,68970,289,1,0.800712
-0.14335,68970,289,1,0.800712
-0.1403,68970,289,1,0.800712
-0.13725,68970,289,1,0.800712
-0.1342,68970,289,1,0.800712
-0.13115,68970,289,1,0.800712
-0.1281,68970.1,289,1,0.800711
-0.12505,68970,289,1,0.80071
-0.122,68969.9,289.001,1,0.800709
-0.11895,68969.9,289,1,0.80071
-0.1159,68970,289,1,0.800711
-0.11285,68970,289,1,0.800712
-0.1098,68970,289,1,0.800712
-0.10675,68970,289,1,0.800712
-0.1037,68970,289,1,0.800712
-0.10065,68970,289,1,0.800712
-0.0976,68970,289,1,0.800712
-0.09455,68970,289,1,0.800712
-0.0915,68970,289,1,0.800712
-0.08845,68970,289,1,0.800712
-0.0854,68970,289,1,0.800712
-0.08235,68970,289,1,0.800711
-0.0793,68969.9,289.001,1,0.800708
-0.07625,68969.8,289.001,1,0.800708
-0.0732,68970,289,1,0.800708
-0.07015,68970.1,289,1,0.800711
-0.0671,68970.1,289,1,0.800713
-0.06405,68970,289,1,0.800713
-0.061,68970,289,1,0.800712
-0.05795,68969.9,289,1,0.80071
-0.0549,68969.8,289,1,0.80071
-0.05185,68969.8,289,1,0.80071
-0.0488,68969.7,289,1,0.800711
-0.04575,68969.5,289,1,0.800712
-0.0427,68968.8,288.999,1,0.800713
-0.03965,68967.1,288.997,1,0.800716
-0.0366,68962.7,288.992,1,0.800725
-0.03355,68951.8,288.985,1,0.80074
-0.0305,68924.9,288.976,1,0.800693
-0.02745,68869.9,288.998,1,0.800638
-0.0244,68719.3,289.014,1,0.800638
-0.02135,68438.1,288.958,1,0.800686
-0.0183,67957.6,288.48,1,0.800948
-0.01525,67102.9,287.666,1,0.802773
-0.0122,65969.1,286.877,1,0.805383
-0.00915,64808.9,285.802,1,0.807795
-0.0061,64050.7,285.111,1,0.810226
-0.00305,63941.1,285.46,1,0.808655
-8.27181e-25,63954.2,287.259,1,0.800302
0.00305,63719.8,290.524,1,0.790844
0.0061,63415.1,293.173,1,0.78715
0.00915,62944.9,293.526,1,0.78715
0.0122,62064.3,292.129,1,0.789192
0.01525,61011.3,290.599,1,0.793943
0.0183,60128.3,289.725,1,0.797787
0.02135,59557.3,289.314,1,0.799435
0.0244,59262.1,289.147,1,0.800143
0.02745,59105.7,289.074,1,0.800428
0.0305,59028.2,289.028,1,0.800579
0.03355,58993.9,289.007,1,0.800667
0.0366,58980.2,289.004,1,0.800698
0.03965,58974.3,289.002,1,0.800705
0.0427,58971.8,289.001,1,0.800709
0.04575,58970.7,289,1,0.800711
0.0488,58970.3,289,1,0.800711
0.05185,58970.2,289,1,0.800711
0.0549,58970.1,289,1,0.800712
0.05795,58970,289,1,0.800712
0.061,58970,289,1,0.800712
0.06405,58970,289,1,0.800712
0.0671,58970,289,1,0.800712
0.07015,58970,289,1,0.800712
0.0732,58970,289,1,0.800712
0.07625,58970,289,1,0.800712
0.0793,58970,289,1,0.800712
0.08235,58970,289,1,0.800712
0.0854,58970,289,1,0.800712
0.08845,58970,289,1,0.800712
0.0915,58970,289,1,0.800712
0.09455,58970,289,1,0.800712
0.0976,58970,289,1,0.800712
0.10065,58970,289,1,0.800712
0.1037,58970,289,1,0.800712
0.10675,58970,289,1,0.800712
0.1098,58970,289,1,0.800712
0.11285,58970,289,1,0.800712
0.1159,58970,289,1,0.800712
0.11895,58970,289,1,0.800712
0.122,58970,289,1,0.800712
0.12505,58970,289,1,0.800712
0.1281,58970,289,1,0.800712
0.13115,58970,289,1,0.800712
0.1342,58970,289,1,0.800712
0.13725,58970,289,1,0.800712
0.1403,58970,289,1,0.800712
0.14335,58970,289,1,0.800712
0.1464,58970,289,1,0.800712
0.14945,58970,289,1,0.800712
0.152,58970,289,0.163934,0.131264
