x,U_0,U_1,U_2
-0.152,-2.23632e-07,-1.19742e-06,0
-0.14945,-3.90356e-07,-1.02463e-06,0
-0.1464,1.13065e-06,-1.18693e-06,0
-0.14335,1.32572e-06,-1.67241e-06,0
-0.1403,-2.47475e-06,-1.27905e-06,0
-0.13725,-2.16519e-06,-3.7319e-07,0
-0.1342,2.7638e-07,7.63114e-07,0
-0.13115,-6.38384e-08,5.14817e-07,0
-0.1281,1.43948e-06,9.43702e-07,0
-0.12505,4.20484e-06,-1.06625e-06,0
-0.122,2.90782e-06,-2.44717e-06,0
-0.11895,3.20678e-06,-2.28292e-07,0
-0.1159,1.12666e-05,-9.02585e-07,0
-0.11285,1.35408e-05,-1.06245e-06,4.59082e-34
-0.1098,1.63592e-05,1.92945e-07,4.59079e-34
-0.10675,2.99358e-05,1.00786e-06,0
-0.1037,4.59526e-05,7.3111e-07,0
-0.10065,6.90855e-05,5.01583e-08,0
-0.0976,0.000111782,1.43563e-06,0
-0.09455,0.000169228,1.62633e-05,0
-0.0915,0.000254774,2.34577e-05,0
-0.08845,0.000400967,1.34889e-05,0
-0.0854,0.000612235,1.83322e-05,0
-0.08235,0.000947288,3.82363e-05,0
-0.0793,0.00146631,7.51711e-05,0
-0.07625,0.00221956,0.000128259,0
-0.0732,0.00335813,0.000187205,0
-0.07015,0.00507737,0.000282063,0
-0.0671,0.00771967,0.000413688,0
-0.06405,0.0112745,0.000448797,0
-0.061,0.0171108,0.000537501,0
-0.05795,0.0264926,0.000745851,-1.87992e-32
-0.0549,0.0393681,0.000829839,-1.87992e-32
-0.05185,0.0605363,0.0010924,0
-0.0488,0.0964957,0.000319709,0
-0.04575,0.142693,-0.00223714,0
-0.0427,0.21961,-0.00560807,-4.76222e-33
-0.03965,0.334406,-0.0105461,-4.76222e-33
-0.0366,0.509422,-0.0127459,0
-0.03355,0.758547,-0.00612095,-1.33253e-33
-0.0305,1.11789,-0.00161206,-1.33254e-33
-0.02745,1.66716,0.00422064,0
-0.0244,2.40065,0.0294215,0
-0.02135,3.58676,0.0653361,5.30789e-34
-0.0183,5.36999,0.155925,5.30793e-34
-0.01525,7.16618,0.308339,0
-0.0122,9.45508,0.494526,0
-0.00915,12.852,0.913873,0
-0.0061,16.1963,1.64713,0
-0.00305,17.6368,1.0927,0
-8.27181e-25,17.3154,0.431926,0
0.00305,17.8322,0.466139,0
0.0061,16.6632,-0.0288116,0
0.00915,13.4797,-0.197973,0
0.0122,10.6666,-0.115765,0
0.01525,7.79408,0.0460278,-3.95783e-33
0.0183,5.67384,0.166777,-5.11024e-33
0.02135,4.14762,0.125556,-1.15241e-33
0.0244,2.92859,0.05911,0
0.02745,1.94184,0.00928627,-3.98206e-33
0.0305,1.30765,0.00961564,-3.98206e-33
0.03355,0.912755,0.0248337,0
0.0366,0.615064,0.0122791,0
0.03965,0.432294,0.00131488,0
0.0427,0.286094,-0.000429088,0
0.04575,0.179474,0.00240208,0
0.0488,0.129486,0.00256968,0
0.05185,0.0823846,0.000927269,0
0.0549,0.0566383,-0.000143054,0
0.05795,0.0366428,-0.000313363,0
0.061,0.0226973,0.000117752,0
0.06405,0.0162223,0.000286632,2.70581e-33
0.0671,0.0101315,0.000162797,2.7058e-33
0.07015,0.00698203,9.10538e-06,0
0.0732,0.00461051,7.7804e-07,0
0.07625,0.00276291,3.90765e-05,0
0.0793,0.00187556,-1.54515e-05,0
0.08235,0.00117758,-5.05964e-05,0
0.0854,0.000783212,-7.55665e-06,0
0.08845,0.000510438,1.54501e-05,0
0.0915,0.00033058,3.33097e-06,0
0.09455,0.000218399,-6.21199e-06,0
0.0976,0.000145174,-7.28225e-06,0
0.10065,9.41612e-05,-2.29066e-06,0
0.1037,6.03576e-05,4.27141e-07,0
0.10675,3.94037e-05,-1.03156e-06,0
0.1098,2.89653e-05,-1.25571e-06,0
0.11285,1.76404e-05,-1.48692e-07,0
0.1159,7.6871e-06,-7.00505e-07,0
0.11895,6.98015e-06,-5.90185e-07,0
0.122,5.56189e-06,-3.24523e-07,0
0.12505,2.97515e-06,-4.8121e-07,-4.04652e-33
0.1281,2.24427e-06,-4.6376e-09,-4.04652e-33
0.13115,1.2006e-06,1.50593e-07,4.72349e-33
0.1342,6.09425e-07,-5.27603e-08,4.72349e-33
0.13725,5.0827e-07,-1.4174e-08,0
0.1403,3.34737e-07,4.30089e-09,0
0.14335,2.13757e-07,1.35787e-08,0
0.1464,1.30079e-07,5.70631e-09,0
0.14945,4.96715e-08,1.98349e-09,0
0.152,1.45224e-08,1.23362e-09,0
