x,U_0,U_1,U_2
-0.152,5.4494e-13,-5.74574e-13,0
-0.14945,4.28599e-13,-5.85851e-13,0
-0.1464,-7.92204e-15,-5.48479e-13,0
-0.14335,-3.59784e-13,-4.55835e-13,0
-0.1403,-3.57055e-13,-3.87424e-13,0
-0.13725,-1.81113e-13,-3.59017e-13,0
-0.1342,-3.05615e-13,-3.80521e-13,0
-0.13115,-7.18896e-13,-3.27565e-13,0
-0.1281,-8.45598e-13,-2.91034e-13,0
-0.12505,-1.05366e-12,-2.00333e-13,0
-0.122,-1.25313e-12,-7.83881e-14,0
-0.11895,-1.03919e-12,-7.9107e-14,0
-0.1159,-8.88191e-13,-6.05695e-14,0
-0.11285,-7.2265e-13,-6.47849e-14,-3.05076e-36
-0.1098,-2.90997e-13,-1.45848e-13,-3.05078e-36
-0.10675,-1.00599e-13,-1.98645e-13,0
-0.1037,-2.7692e-13,-1.8647e-13,0
-0.10065,-4.60686e-13,-1.7577e-13,0
-0.0976,-5.25397e-13,-1.92376e-13,0
-0.09455,-1.46001e-13,-3.22424e-13,0
-0.0915,7.94778e-13,-4.2442e-13,0
-0.08845,3.16888e-12,-5.06257e-13,0
-0.0854,8.99535e-10,9.89932e-13,0
-0.08235,6.22167e-07,4.98012e-10,0
-0.0793,0.000349354,1.78007e-07,0
-0.07625,0.0445161,2.01902e-05,0
-0.0732,0.861125,0.000385234,0
-0.07015,3.98454,0.00173863,0
-0.0671,8.70268,0.00377891,0
-0.06405,12.7486,0.00565552,0
-0.061,15.5031,0.00690311,0
-0.05795,17.2134,0.00728091,-5.46137e-37
-0.0549,18.1846,0.00679013,-5.46157e-37
-0.05185,18.6803,0.00585298,0
-0.0488,18.9048,0.00509312,0
-0.04575,18.997,0.00469918,0
-0.0427,19.0296,0.00440366,-9.37622e-38
-0.03965,19.0382,0.00448073,-9.37424e-38
-0.0366,19.0422,0.004717,0
-0.03355,19.0426,0.00477812,1.06198e-37
-0.0305,19.04,0.00441947,1.06178e-37
-0.02745,19.0364,0.00350522,0
-0.0244,19.0338,0.00226338,0
-0.02135,19.033,0.000897599,-4.60361e-36
-0.0183,19.0322,-0.000525012,-4.60359e-36
-0.01525,19.0299,-0.00229248,0
-0.0122,19.0273,-0.0041145,0
-0.00915,19.0256,-0.00587061,0
-0.0061,19.0251,-0.00715682,0
-0.00305,19.0251,-0.00786267,0
-8.27181e-25,19.025,-0.00824957,0
0.00305,19.0254,-0.00830069,0
0.0061,19.0262,-0.00800432,0
0.00915,19.0268,-0.00750403,0
0.0122,19.027,-0.00698323,0
0.01525,19.0268,-0.0064637,6.14539e-37
0.0183,19.0261,-0.005947,-3.42499e-37
0.02135,19.0256,-0.00535668,-9.57058e-37
0.0244,19.0255,-0.00485697,0
0.02745,19.0253,-0.00452188,4.07079e-37
0.0305,19.0237,-0.00421207,4.07089e-37
0.03355,19.0211,-0.00387235,0
0.0366,19.0201,-0.00351118,0
0.03965,19.0203,-0.00328128,0
0.0427,19.0186,-0.00269946,0
0.04575,19.0142,-0.00219814,0
0.0488,19.0104,-0.000916601,0
0.05185,18.9963,0.00112903,0
0.0549,18.9406,0.0033259,0
0.05795,18.7738,0.00671018,0
0.061,18.3349,0.00992897,0
0.06405,17.3019,0.00885398,4.77968e-38
0.0671,15.1096,0.00506618,4.77865e-38
0.07015,11.0307,0.0027556,0
0.0732,5.37058,0.00117538,0
0.07625,1.2197,0.00025295,0
0.0793,0.0625156,1.25211e-05,0
0.08235,0.000446749,9.9217e-08,0
0.0854,6.98665e-07,2.47927e-10,0
0.08845,9.37495e-10,7.35344e-13,0
0.0915,2.12345e-12,-2.47518e-14,0
0.09455,2.72993e-13,-3.52032e-14,0
0.0976,2.86547e-13,1.60088e-13,0
0.10065,-1.49298e-13,2.71193e-14,0
0.1037,-2.37052e-13,-1.42039e-14,0
0.10675,5.30204e-14,-1.23853e-13,0
0.1098,2.87259e-13,-2.17845e-13,0
0.11285,3.94731e-13,-1.98987e-13,0
0.1159,2.4052e-13,-6.31708e-14,0
0.11895,2.96707e-13,1.16436e-13,0
0.122,2.29262e-13,8.24711e-14,0
0.12505,-1.49147e-15,-2.18424e-14,-4.50088e-37
0.1281,2.44573e-13,-1.3345e-13,-4.50078e-37
0.13115,3.01295e-13,-1.491e-13,1.79931e-37
0.1342,6.57997e-14,-1.77713e-13,1.79941e-37
0.13725,-2.9641e-13,-1.99232e-13,0
0.1403,-4.92025e-13,-2.99518e-13,0
0.14335,-3.20547e-13,-2.9109e-13,0
0.1464,-3.06477e-13,-1.51429e-13,0
0.14945,-3.08051e-13,-2.42451e-13,0
0.152,-2.44544e-13,-3.23021e-13,0
