x,U_0,U_1,U_2
-0.152,9.50442e-14,-2.07949e-13,0
-0.14945,1.30914e-13,-2.17245e-13,0
-0.1464,-2.76821e-14,-1.98157e-13,0
-0.14335,-1.76295e-13,-1.23546e-13,0
-0.1403,1.54422e-14,-1.23678e-13,0
-0.13725,3.32014e-13,-1.58971e-13,0
-0.1342,3.40443e-13,-8.19645e-14,0
-0.13115,-6.62966e-14,4.60804e-14,0
-0.1281,-8.11937e-14,1.86333e-13,0
-0.12505,1.02073e-13,2.24714e-13,0
-0.122,-6.61129e-16,1.32143e-13,0
-0.11895,-7.88492e-14,8.63144e-14,0
-0.1159,-2.16719e-13,1.40907e-13,0
-0.11285,-4.52408e-13,1.42616e-13,8.36736e-37
-0.1098,-3.51367e-13,5.70822e-14,8.36716e-37
-0.10675,-8.4851e-15,-1.46416e-14,0
-0.1037,2.43827e-13,-9.49351e-14,0
-0.10065,4.47757e-13,-2.13593e-13,0
-0.0976,3.70171e-13,-2.48188e-13,0
-0.09455,1.87716e-13,-2.0126e-13,0
-0.0915,1.60653e-13,-1.72718e-13,0
-0.08845,3.49191e-15,-1.68083e-13,0
-0.0854,-1.0536e-13,-1.81406e-13,0
-0.08235,-7.24529e-14,-1.06459e-13,0
-0.0793,-1.93122e-13,-3.51062e-14,0
-0.07625,-2.85428e-13,-1.30306e-13,0
-0.0732,-2.47144e-13,-1.02581e-13,0
-0.07015,-1.72013e-13,-4.89069e-14,0
-0.0671,-3.57074e-13,-6.21323e-14,0
-0.06405,-3.70285e-13,6.26015e-14,0
-0.061,7.19345e-14,1.32203e-13,0
-0.05795,3.34979e-14,6.46538e-14,-2.57362e-36
-0.0549,-3.38978e-13,2.68571e-14,-2.57364e-36
-0.05185,-5.037e-13,-2.55273e-14,0
-0.0488,-4.09794e-13,-1.38648e-13,0
-0.04575,1.38993e-13,-1.56385e-13,0
-0.0427,4.44297e-13,-1.62519e-13,-5.58783e-37
-0.03965,5.64624e-14,-3.36649e-13,-5.58763e-37
-0.0366,2.83637e-12,-5.91932e-13,0
-0.03355,1.67265e-09,-2.80194e-13,3.96225e-37
-0.0305,1.25121e-06,-7.47437e-12,3.96205e-37
-0.02745,0.000717342,4.67364e-08,0
-0.0244,0.0838383,8.15713e-06,0
-0.02135,1.42854,6.75109e-05,1.60636e-36
-0.0183,5.97467,-0.000431628,1.60638e-36
-0.01525,12.0474,-0.00197155,0
-0.0122,16.3339,-0.00300794,0
-0.00915,18.4985,-0.002825,0
-0.0061,19.1216,-0.00257886,0
-0.00305,19.0163,-0.00250134,0
-8.27181e-25,18.981,-0.00203173,0
0.00305,19.0506,-0.00131007,0
0.0061,19.1914,-2.54369e-05,0
0.00915,18.8975,0.00180365,0
0.0122,17.5495,0.0035263,0
0.01525,14.3312,0.00448492,-4.62957e-37
0.0183,8.46003,0.00345943,-1.75037e-38
0.02135,2.66292,0.00130119,4.45433e-37
0.0244,0.240914,0.000132939,0
0.02745,0.00313322,1.88055e-06,-4.40411e-37
0.0305,6.5217e-06,6.12828e-09,-4.40401e-37
0.03355,7.66648e-09,1.26926e-11,0
0.0366,1.20276e-11,-1.7109e-13,0
0.03965,-6.88177e-14,-1.82445e-13,0
0.0427,-1.85635e-13,-1.12722e-13,0
0.04575,-2.00754e-13,-9.81365e-14,0
0.0488,-1.23526e-13,-9.27463e-14,0
0.05185,-2.37337e-15,-1.87314e-13,0
0.0549,-8.11809e-15,-1.6457e-13,0
0.05795,1.47946e-13,-1.80769e-15,0
0.061,3.76836e-13,9.25843e-14,0
0.06405,1.73423e-13,3.46656e-14,-2.87721e-36
0.0671,-1.1394e-13,-5.31764e-14,-2.87722e-36
0.07015,-2.3794e-13,-5.58514e-14,0
0.0732,-3.56592e-13,-1.50256e-13,0
0.07625,-3.1107e-13,-1.84338e-13,0
0.0793,-1.92604e-13,-1.29924e-13,0
0.08235,-1.29132e-13,-8.69926e-14,0
0.0854,-4.67355e-14,1.39913e-14,0
0.08845,-1.5926e-13,4.84993e-14,0
0.0915,-1.77404e-13,5.64963e-14,0
0.09455,2.18364e-14,8.42641e-14,0
0.0976,9.32203e-15,1.48004e-13,0
0.10065,4.43442e-14,1.27494e-13,0
0.1037,6.92949e-14,-8.0256e-15,0
0.10675,1.59415e-13,-1.23478e-13,0
0.1098,3.57178e-13,-1.46132e-13,0
0.11285,4.05925e-13,-1.23076e-13,0
0.1159,4.10104e-13,-1.40062e-13,0
0.11895,3.85206e-13,-8.01433e-14,0
0.122,3.59365e-13,7.13092e-14,0
0.12505,1.94437e-13,8.89656e-14,6.34911e-37
0.1281,7.44353e-14,-1.92055e-14,6.34921e-37
0.13115,2.00468e-13,-5.04454e-14,1.87432e-37
0.1342,3.41153e-14,-7.43133e-14,1.87442e-37
0.13725,-3.4664e-13,-8.36632e-14,0
0.1403,-4.88802e-13,-1.14335e-13,0
0.14335,-6.24989e-13,-1.56843e-13,0
0.1464,-6.6093e-13,-1.52921e-13,0
0.14945,-4.18042e-13,-1.0375e-13,0
0.152,-2.85658e-13,-6.29358e-14,0
