x,p,T,maxKappa,minKappa
-0.152,68970,289,0.163934,0.146693
-0.14945,68970,289,1,0.894825
-0.1464,68970,289,1,0.894825
-0.14335,68970,289,1,0.894825
-0.1403,68970,289,1,0.894825
-0.13725,68970,289,1,0.894825
-0.1342,68970,289,1,0.894825
-0.13115,68970,289,1,0.894825
-0.1281,68970,289,1,0.894825
-0.12505,68970,289,1,0.894825
-0.122,68970,289,1,0.894825
-0.11895,68970,289,1,0.894825
-0.1159,68970,289,1,0.894825
-0.11285,68970,289,1,0.894825
-0.1098,68970,289,1,0.894825
-0.10675,68970,289,1,0.894825
-0.1037,68970,289,1,0.894825
-0.10065,68970,289,1,0.894825
-0.0976,68970,289,1,0.894825
-0.09455,68969.9,289,1,0.894825
-0.0915,68969.6,289,1,0.894825
-0.08845,68969.2,289,1,0.894825
-0.0854,68968.5,289,1,0.894825
-0.08235,68967.3,288.999,1,0.894827
-0.0793,68964.7,288.998,1,0.894828
-0.07625,68960,288.996,1,0.894829
-0.0732,68950.7,288.99,1,0.894835
-0.07015,68935.5,288.981,1,0.894846
-0.0671,68908.3,288.963,1,0.894863
-0.06405,68862.7,288.933,1,0.894898
-0.061,68781.9,288.877,1,0.894959
-0.05795,68653.3,288.777,1,0.89508
-0.0549,68458.2,288.666,1,0.895243
-0.05185,68146.7,288.437,1,0.895473
-0.0488,67722.4,288.084,1,0.895914
-0.04575,67240,287.581,1,0.896569
-0.0427,66641.5,286.872,1,0.897512
-0.03965,65945.1,286.043,1,0.898758
-0.0366,65279.7,285.186,1,0.900113
-0.03355,64716.2,284.369,1,0.901468
-0.0305,64311.8,283.669,1,0.902715
-0.02745,64080.1,283.209,1,0.903644
-0.0244,63974.7,282.937,1,0.904207
-0.02135,63927.4,282.795,1,0.904522
-0.0183,63896.5,282.758,1,0.904629
-0.01525,63861.6,282.789,1,0.904542
-0.0122,63828.9,282.932,1,0.904197
-0.00915,63803.4,283.267,1,0.903479
-0.0061,63785.4,283.893,1,0.902194
-0.00305,63774.1,284.98,1,0.899998
-8.27181e-25,63765.8,286.743,1,0.896642
0.00305,63755.6,289.153,1,0.89254
0.0061,63744.4,291.722,1,0.888794
0.00915,63737.8,293.77,1,0.886343
0.0122,63731.9,294.941,1,0.885248
0.01525,63728.1,295.407,1,0.884909
0.0183,63729.7,295.54,1,0.884829
0.02135,63736.2,295.557,1,0.884823
0.0244,63732.4,295.483,1,0.884866
0.02745,63684.1,295.298,1,0.885045
0.0305,63561.1,294.989,1,0.885403
0.03355,63310,294.457,1,0.886005
0.0366,62894,293.684,1,0.886994
0.03965,62324.4,292.757,1,0.888331
0.0427,61658.4,291.826,1,0.889791
0.04575,60995.9,291.007,1,0.891157
0.0488,60405.8,290.329,1,0.892325
0.05185,59944.8,289.856,1,0.893203
0.0549,59610.7,289.524,1,0.893811
0.05795,59374.5,289.314,1,0.894214
0.061,59212.3,289.178,1,0.894467
0.06405,59103.8,289.087,1,0.894639
0.0671,59044.2,289.051,1,0.894725
0.07015,59009,289.025,1,0.894771
0.0732,58990.5,289.013,1,0.894798
0.07625,58980.8,289.006,1,0.894811
0.0793,58975.8,289.004,1,0.894818
0.08235,58972.9,289.002,1,0.894821
0.0854,58971.3,289,1,0.894823
0.08845,58970.7,289,1,0.894824
0.0915,58970.3,289,1,0.894824
0.09455,58970.2,289,1,0.894825
0.0976,58970.1,289,1,0.894825
0.10065,58970,289,1,0.894825
0.1037,58970,289,1,0.894825
0.10675,58970,289,1,0.894825
0.1098,58970,289,1,0.894825
0.11285,58970,289,1,0.894825
0.1159,58970,289,1,0.894825
0.11895,58970,289,1,0.894825
0.122,58970,289,1,0.894825
0.12505,58970,289,1,0.894825
0.1281,58970,289,1,0.894825
0.13115,58970,289,1,0.894825
0.1342,58970,289,1,0.894825
0.13725,58970,289,1,0.894825
0.1403,58970,289,1,0.894825
0.14335,58970,289,1,0.894825
0.1464,58970,289,1,0.894825
0.14945,58970,289,1,0.894825
0.152,58970,289,0.163934,0.146693
