x,U_0,U_1,U_2
-0.152,6.36857e-14,-7.30237e-13,0
-0.14945,-3.88284e-14,-7.56777e-13,0
-0.1464,-1.12426e-12,-5.97523e-13,0
-0.14335,-1.56494e-12,-5.75115e-14,0
-0.1403,-1.55502e-12,1.02609e-12,0
-0.13725,-2.81634e-12,2.04875e-12,0
-0.1342,-2.74818e-12,3.07645e-12,0
-0.13115,-1.88009e-12,4.12341e-12,0
-0.1281,-1.34074e-12,4.32821e-12,0
-0.12505,-1.1576e-13,5.22213e-12,0
-0.122,4.63468e-12,5.34336e-12,0
-0.11895,3.3094e-11,5.10988e-12,0
-0.1159,1.79048e-10,5.15557e-12,0
-0.11285,8.81141e-10,4.09379e-12,1.75598e-39
-0.1098,4.03099e-09,3.48991e-12,1.73575e-39
-0.10675,1.80662e-08,2.4514e-12,0
-0.1037,7.71626e-08,1.41816e-12,0
-0.10065,3.2309e-07,1.15045e-12,0
-0.0976,1.29061e-06,8.91496e-13,0
-0.09455,5.03364e-06,7.80487e-13,0
-0.0915,1.87189e-05,1.02594e-12,0
-0.08845,6.76246e-05,4.7957e-13,0
-0.0854,0.000232702,6.22183e-13,0
-0.08235,0.000773448,1.21314e-12,0
-0.0793,0.00244455,5.54451e-13,0
-0.07625,0.00741335,-8.34447e-14,0
-0.0732,0.0213171,-2.40719e-12,0
-0.07015,0.0583382,-8.28319e-12,0
-0.0671,0.150543,-2.0284e-11,0
-0.06405,0.36525,-4.40918e-11,0
-0.061,0.819106,-8.10143e-11,0
-0.05795,1.66591,-1.13931e-10,1.38828e-39
-0.0549,3.05555,-7.78225e-11,1.36812e-39
-0.05185,5.09196,1.64117e-10,0
-0.0488,7.74989,8.52779e-10,0
-0.04575,10.8458,2.29452e-09,0
-0.0427,14.0397,4.7999e-09,-1.26774e-39
-0.03965,17.0039,8.49573e-09,-1.24788e-39
-0.0366,19.4931,1.32429e-08,0
-0.03355,21.2655,1.86548e-08,1.19994e-39
-0.0305,21.9042,2.41041e-08,1.18021e-39
-0.02745,21.4474,2.82536e-08,0
-0.0244,20.4151,2.98596e-08,0
-0.02135,19.3089,2.85441e-08,-1.12503e-39
-0.0183,18.4836,2.45459e-08,-1.10524e-39
-0.01525,18.3201,1.92675e-08,0
-0.0122,18.5495,1.44162e-08,0
-0.00915,18.8582,1.12035e-08,0
-0.0061,19.0715,9.12854e-09,0
-0.00305,19.035,7.13704e-09,0
-8.27181e-25,19.2313,5.47116e-09,0
0.00305,19.2114,3.94149e-09,0
0.0061,19.1182,2.44084e-09,0
0.00915,19.0183,1.12814e-09,0
0.0122,18.9503,-1.00135e-10,0
0.01525,19.0932,-1.26966e-09,-4.63653e-40
0.0183,19.108,-2.34867e-09,-1.66321e-44
0.02135,19.1234,-3.84533e-09,4.42955e-40
0.0244,19.1608,-5.45629e-09,0
0.02745,19.227,-7.11286e-09,-4.22607e-40
0.0305,19.2837,-9.08423e-09,-4.12258e-40
0.03355,19.3586,-1.1056e-08,0
0.0366,19.5234,-1.30516e-08,0
0.03965,19.861,-1.44574e-08,0
0.0427,20.1757,-1.43442e-08,0
0.04575,19.2309,-1.21706e-08,0
0.0488,15.3646,-8.21347e-09,0
0.05185,9.57493,-4.21605e-09,0
0.0549,4.86829,-1.85571e-09,0
0.05795,2.27054,-8.00477e-10,0
0.061,1.00704,-3.33189e-10,0
0.06405,0.426464,-1.3412e-10,2.91643e-40
0.0671,0.170957,-5.20009e-11,2.81529e-40
0.07015,0.0654143,-2.01463e-11,0
0.0732,0.0236713,-7.77317e-12,0
0.07625,0.00820903,-2.70258e-12,0
0.0793,0.00269726,-4.52932e-13,0
0.08235,0.000854098,2.4844e-13,0
0.0854,0.000256735,1.76737e-13,0
0.08845,7.47846e-05,-8.78925e-13,0
0.0915,2.07094e-05,-1.69319e-12,0
0.09455,5.58556e-06,-6.1179e-13,0
0.0976,1.43368e-06,6.35426e-13,0
0.10065,3.60041e-07,7.38373e-13,0
0.1037,8.61147e-08,1.08925e-12,0
0.10675,2.02348e-08,1.09809e-12,0
0.1098,4.53535e-09,6.81226e-13,0
0.11285,1.00571e-09,7.23565e-13,0
0.1159,2.16274e-10,1.31252e-12,0
0.11895,5.02104e-11,1.61918e-12,0
0.122,1.51024e-11,2.2255e-12,0
0.12505,7.09423e-12,1.57483e-12,-8.93403e-41
0.1281,5.64624e-12,5.43155e-13,-7.92295e-41
0.13115,5.92546e-12,5.14175e-13,-6.91186e-41
0.1342,5.14124e-12,-6.62746e-13,-5.90077e-41
0.13725,4.74642e-12,-2.28918e-12,0
0.1403,3.51716e-12,-3.1693e-12,0
0.14335,2.40865e-12,-4.1638e-12,0
0.1464,3.74174e-12,-4.14058e-12,0
0.14945,6.27903e-12,-3.52103e-12,0
0.152,7.26889e-12,-3.62034e-12,0
