x,U_0,U_1,U_2
-0.152,0,0,0
-0.14945,0,0,0
-0.1464,0,0,0
-0.14335,0,0,0
-0.1403,0,0,0
-0.13725,0,0,0
-0.1342,0,0,0
-0.13115,0,0,0
-0.1281,0,0,0
-0.12505,0,0,0
-0.122,0,0,0
-0.11895,0,0,0
-0.1159,0,0,0
-0.11285,0,0,0
-0.1098,0,0,0
-0.10675,0,0,0
-0.1037,0,0,0
-0.10065,0,0,0
-0.0976,0,0,0
-0.09455,0,0,0
-0.0915,0,0,0
-0.08845,0,0,0
-0.0854,0,0,0
-0.08235,0,0,0
-0.0793,0,0,0
-0.07625,0,0,0
-0.0732,0,0,0
-0.07015,0,0,0
-0.0671,0,0,0
-0.06405,0,0,0
-0.061,0,0,0
-0.05795,0,0,0
-0.0549,0,0,0
-0.05185,0,0,0
-0.0488,0,0,0
-0.04575,0,0,0
-0.0427,0,0,0
-0.03965,0,0,0
-0.0366,0,0,0
-0.03355,0,0,0
-0.0305,0,0,0
-0.02745,0,0,0
-0.0244,0,0,0
-0.02135,0,0,0
-0.0183,0,0,0
-0.01525,0,0,0
-0.0122,0,0,0
-0.00915,0,0,0
-0.0061,0,0,0
-0.00305,0,0,0
-8.27181e-25,0,0,0
0.00305,0,0,0
0.0061,0,0,0
0.00915,0,0,0
0.0122,0,0,0
0.01525,0,0,0
0.0183,0,0,0
0.02135,0,0,0
0.0244,0,0,0
0.02745,0,0,0
0.0305,0,0,0
0.03355,0,0,0
0.0366,0,0,0
0.03965,0,0,0
0.0427,0,0,0
0.04575,0,0,0
0.0488,0,0,0
0.05185,0,0,0
0.0549,0,0,0
0.05795,0,0,0
0.061,0,0,0
0.06405,0,0,0
0.0671,0,0,0
0.07015,0,0,0
0.0732,0,0,0
0.07625,0,0,0
0.0793,0,0,0
0.08235,0,0,0
0.0854,0,0,0
0.08845,0,0,0
0.0915,0,0,0
0.09455,0,0,0
0.0976,0,0,0
0.10065,0,0,0
0.1037,0,0,0
0.10675,0,0,0
0.1098,0,0,0
0.11285,0,0,0
0.1159,0,0,0
0.11895,0,0,0
0.122,0,0,0
0.12505,0,0,0
0.1281,0,0,0
0.13115,0,0,0
0.1342,0,0,0
0.13725,0,0,0
0.1403,0,0,0
0.14335,0,0,0
0.1464,0,0,0
0.14945,0,0,0
0.152,0,0,0
