x,U_0,U_1,U_2
-0.152,3.64685e-14,5.35302e-14,0
-0.14945,4.37911e-14,1.38677e-14,0
-0.1464,1.19695e-13,-4.88989e-14,0
-0.14335,1.03637e-13,-4.30598e-14,0
-0.1403,-1.26995e-13,3.79536e-14,0
-0.13725,-2.24794e-13,1.5108e-13,0
-0.1342,-4.23312e-14,2.26984e-13,0
-0.13115,1.54728e-13,1.82463e-13,0
-0.1281,1.26994e-13,1.75894e-13,0
-0.12505,1.02185e-14,1.77354e-13,0
-0.122,6.27676e-14,1.18966e-13,0
-0.11895,2.4085e-13,1.16776e-13,0
-0.1159,2.62746e-13,1.11667e-13,0
-0.11285,2.03558e-13,4.52511e-14,1.75598e-38
-0.1098,2.89021e-13,-1.11666e-13,1.73575e-38
-0.10675,4.06597e-13,-2.28442e-13,0
-0.1037,4.36448e-13,-2.50337e-13,0
-0.10065,2.05816e-13,-1.91218e-13,0
-0.0976,-1.89761e-13,-6.05755e-14,0
-0.09455,-5.2695e-13,3.57642e-14,0
-0.0915,-7.98453e-13,-6.56753e-15,0
-0.08845,-7.2627e-13,-4.30605e-14,0
-0.0854,-3.64925e-13,-5.10867e-15,0
-0.08235,-3.29091e-13,2.84645e-14,0
-0.0793,-5.22571e-13,1.45971e-14,0
-0.07625,-5.86798e-13,-7.59043e-14,0
-0.0732,-2.14576e-13,-1.24804e-13,0
-0.07015,2.2056e-12,-2.11657e-14,0
-0.0671,2.03409e-11,2.48148e-14,0
-0.06405,1.71955e-10,-2.33552e-14,0
-0.061,1.36708e-09,-5.32791e-14,0
-0.05795,1.04613e-08,-5.76583e-14,1.39199e-38
-0.0549,7.52714e-08,-8.61218e-14,1.37176e-38
-0.05185,5.20983e-07,-9.6339e-14,0
-0.0488,3.36216e-06,-5.32734e-14,0
-0.04575,2.07509e-05,-8.82783e-14,0
-0.0427,0.000118143,-5.3101e-14,-1.29088e-38
-0.03965,0.000637629,2.87116e-13,-1.27065e-38
-0.0366,0.00313338,2.18529e-12,0
-0.03355,0.0143958,1.14429e-11,1.23017e-38
-0.0305,0.0592244,5.29221e-11,1.20995e-38
-0.02745,0.222666,2.12424e-10,0
-0.0244,0.731966,7.67066e-10,0
-0.02135,2.10903,2.32197e-09,-1.14441e-38
-0.0183,5.02531,5.8506e-09,-1.12428e-38
-0.01525,9.71621,1.05437e-08,0
-0.0122,14.8413,1.45434e-08,0
-0.00915,19.0224,5.77333e-09,0
-0.0061,20.3006,6.78718e-09,0
-0.00305,19.78,-1.67553e-08,0
-8.27181e-25,20.0419,-1.74445e-09,0
0.00305,19.1737,1.81901e-09,0
0.0061,19.3161,-1.00673e-08,0
0.00915,20.5102,9.98619e-09,0
0.0122,18.5119,4.89564e-09,0
0.01525,12.9691,-5.44467e-09,-4.58546e-39
0.0183,6.67786,-2.00772e-08,-2.76093e-41
0.02135,2.68562,-1.28417e-08,4.35393e-39
0.0244,0.909777,-7.21135e-09,0
0.02745,0.272684,-2.54138e-09,-4.12958e-39
0.0305,0.0718813,-8.97442e-10,-4.02845e-39
0.03355,0.017361,-2.3494e-10,0
0.0366,0.00376554,-6.27363e-11,0
0.03965,0.000763845,-1.3429e-11,0
0.0427,0.000141328,-2.88704e-12,0
0.04575,2.47784e-05,-3.91829e-13,0
0.0488,4.01232e-06,1.0667e-14,0
0.05185,6.21e-07,5.33506e-14,0
0.0549,8.96958e-08,1.10972e-14,0
0.05795,1.24554e-08,-1.02007e-13,0
0.061,1.62799e-09,-1.36578e-13,0
0.06405,2.05218e-10,-1.51517e-13,2.91558e-39
0.0671,2.42604e-11,-1.75844e-13,2.81447e-39
0.07015,2.483e-12,-2.39012e-13,0
0.0732,4.09737e-14,-2.36451e-13,0
0.07625,3.10644e-14,-1.19933e-13,0
0.0793,1.71919e-13,6.06068e-14,0
0.08235,1.48545e-14,1.02861e-13,0
0.0854,1.17288e-13,1.33164e-13,0
0.08845,4.90318e-13,7.85327e-14,0
0.0915,6.01279e-13,-7.2557e-14,0
0.09455,3.78494e-13,-1.17372e-13,0
0.0976,4.64387e-14,-1.34871e-13,0
0.10065,-1.516e-13,-1.4298e-13,0
0.1037,-1.45625e-13,-1.09263e-13,0
0.10675,-1.41366e-13,-5.42045e-14,0
0.1098,-2.55741e-13,-1.34444e-13,0
0.11285,-3.63297e-13,-2.39865e-13,0
0.1159,-2.73839e-13,-3.01753e-13,0
0.11895,-1.26845e-13,-2.96631e-13,0
0.122,-1.63216e-13,-1.84381e-13,0
0.12505,-1.83355e-13,-2.33463e-13,-8.93403e-40
0.1281,-6.04352e-14,-3.56811e-13,-7.92295e-40
0.13115,1.98041e-13,-4.09735e-13,-6.91186e-40
0.1342,3.50325e-13,-3.98211e-13,-5.90077e-40
0.13725,1.51255e-13,-3.4358e-13,0
0.1403,-1.30943e-13,-3.248e-13,0
0.14335,-1.74307e-13,-2.44134e-13,0
0.1464,-1.2309e-13,-2.32183e-13,0
0.14945,-9.54301e-14,-3.33763e-13,0
0.152,-6.2747e-14,-3.70875e-13,0
