x,p,T
-0.152,68918.5,288.976
-0.14945,68917,288.975
-0.1464,68911.8,288.972
-0.14335,68903.4,288.968
-0.1403,68891.5,288.961
-0.13725,68875.8,288.952
-0.1342,68855.4,288.941
-0.13115,68829.8,288.926
-0.1281,68798.1,288.906
-0.12505,68759.4,288.882
-0.122,68712.4,288.853
-0.11895,68656,288.816
-0.1159,68588.9,288.77
-0.11285,68509.6,288.715
-0.1098,68416.7,288.648
-0.10675,68308.7,288.568
-0.1037,68184.2,288.474
-0.10065,68042,288.361
-0.0976,67881,288.229
-0.09455,67700.3,288.076
-0.0915,67499.8,287.899
-0.08845,67279.7,287.698
-0.0854,67040.8,287.471
-0.08235,66784.8,287.218
-0.0793,66514,286.937
-0.07625,66231.8,286.632
-0.0732,65942.4,286.303
-0.07015,65650.6,285.956
-0.0671,65362.2,285.595
-0.06405,65083.1,285.225
-0.061,64820,284.854
-0.05795,64578.6,284.49
-0.0549,64364.8,284.143
-0.05185,64182.7,283.822
-0.0488,64035.2,283.535
-0.04575,63923.2,283.289
-0.0427,63845,283.091
-0.03965,63797.1,282.94
-0.0366,63773.9,282.837
-0.03355,63767.9,282.776
-0.0305,63770.9,282.749
-0.02745,63777.1,282.744
-0.0244,63782.9,282.75
-0.02135,63786.7,282.758
-0.0183,63788.6,282.763
-0.01525,63789.3,282.762
-0.0122,63789.1,282.762
-0.00915,63788.7,282.745
-0.0061,63788.3,282.771
-0.00305,63785.8,282.771
-8.27181e-25,63780.1,283.585
0.00305,63774.1,287.091
0.0061,63775.9,292.04
0.00915,63784.7,294.964
0.0122,63790.2,295.65
0.01525,63790.8,295.713
0.0183,63789.5,295.716
0.02135,63788.7,295.727
0.0244,63791,295.742
0.02745,63797.2,295.764
0.0305,63807,295.788
0.03355,63819.7,295.809
0.0366,63833.9,295.817
0.03965,63846.6,295.798
0.0427,63851,295.739
0.04575,63839,295.63
0.0488,63803.4,295.463
0.05185,63738.4,295.238
0.0549,63639.2,294.955
0.05795,63503.1,294.62
0.061,63330,294.243
0.06405,63121.8,293.835
0.0671,62882.8,293.407
0.07015,62618.9,292.972
0.0732,62337,292.541
0.07625,62044.8,292.125
0.0793,61749.5,291.731
0.08235,61457.9,291.364
0.0854,61175.8,291.028
0.08845,60908,290.726
0.0915,60658,290.457
0.09455,60428.2,290.221
0.0976,60219.9,290.016
0.10065,60033.4,289.839
0.1037,59868.4,289.689
0.10675,59724.1,289.563
0.1098,59599,289.457
0.11285,59491.7,289.37
0.1159,59400.3,289.298
0.11895,59323.2,289.238
0.122,59258.8,289.189
0.12505,59205.3,289.151
0.1281,59161.3,289.12
0.13115,59125.4,289.095
0.1342,59096.6,289.076
0.13725,59073.8,289.061
0.1403,59056,289.049
0.14335,59042.9,289.04
0.1464,59033.6,289.034
0.14945,59027.7,289.031
0.152,59026,289.03
