x,U_0,U_1,U_2
-0.152,-8.86922e-12,-1.43108e-12,0
-0.14945,-5.93816e-12,-8.84711e-13,0
-0.1464,-4.86193e-12,-1.44802e-12,0
-0.14335,-6.34367e-12,-7.19198e-13,0
-0.1403,3.78497e-13,-1.50073e-13,0
-0.13725,2.71066e-12,-1.53634e-12,0
-0.1342,1.67967e-12,-1.58195e-12,0
-0.13115,-1.62771e-12,-1.70551e-12,0
-0.1281,-1.25359e-12,-2.34041e-12,0
-0.12505,7.33208e-13,-9.56697e-13,0
-0.122,-3.80338e-12,-2.90656e-12,0
-0.11895,2.45008e-12,-2.11278e-12,0
-0.1159,5.68248e-13,-9.00134e-13,0
-0.11285,9.94792e-13,-9.00094e-14,1.75598e-39
-0.1098,2.03716e-12,1.04477e-12,1.73575e-39
-0.10675,-4.30157e-12,-1.19798e-12,0
-0.1037,-3.54558e-13,1.05615e-12,0
-0.10065,2.43916e-12,1.68944e-13,0
-0.0976,3.42751e-12,3.86699e-14,0
-0.09455,5.07245e-13,2.99521e-13,0
-0.0915,1.78915e-12,-5.06303e-13,0
-0.08845,2.19027e-12,4.7702e-13,0
-0.0854,6.92917e-13,-5.72572e-13,0
-0.08235,1.36146e-12,-1.16228e-12,0
-0.0793,1.25825e-13,-1.43445e-12,0
-0.07625,-3.21285e-13,-1.61924e-12,0
-0.0732,-1.60056e-12,-6.47232e-13,0
-0.07015,-3.26694e-12,-1.25906e-12,0
-0.0671,-3.38152e-12,-9.79539e-13,0
-0.06405,-4.45221e-14,-1.20521e-12,0
-0.061,-1.42642e-12,-5.51483e-13,0
-0.05795,3.38935e-13,-8.71813e-13,1.39199e-39
-0.0549,3.63274e-12,-7.85467e-13,1.37176e-39
-0.05185,6.03634e-11,2.39386e-13,0
-0.0488,3.62246e-08,1.84355e-13,0
-0.04575,3.03417e-05,4.77161e-11,0
-0.0427,0.0124091,1.82876e-08,-1.29083e-39
-0.03965,0.557696,1.33766e-06,-1.27061e-39
-0.0366,3.70281,2.97913e-06,0
-0.03355,9.15967,4.62066e-07,1.21076e-39
-0.0305,13.8904,-3.35181e-06,1.19086e-39
-0.02745,16.7956,-4.50485e-06,0
-0.0244,18.252,-3.72425e-06,0
-0.02135,18.8602,-1.89334e-06,-1.11589e-39
-0.0183,19.0199,3.08049e-07,-1.09626e-39
-0.01525,19.02,1.8535e-06,0
-0.0122,19.0494,3.06512e-06,0
-0.00915,19.0731,5.03633e-06,0
-0.0061,19.0662,6.49394e-06,0
-0.00305,19.0403,7.01693e-06,0
-8.27181e-25,19.0292,6.62652e-06,0
0.00305,19.0434,5.88203e-06,0
0.0061,19.0605,5.45343e-06,0
0.00915,19.053,5.30193e-06,0
0.0122,19.0282,5.18873e-06,0
0.01525,19.0328,4.67643e-06,-4.61114e-40
0.0183,19.0692,3.44663e-06,4.28277e-43
0.02135,19.0423,2.02331e-06,4.40964e-40
0.0244,18.8788,1.26535e-06,0
0.02745,18.3273,2.9834e-07,-4.21143e-40
0.0305,16.7809,-2.56246e-06,-4.1083e-40
0.03355,13.3733,-5.94108e-06,0
0.0366,7.62699,-6.61668e-06,0
0.03965,2.23159,-3.51432e-06,0
0.0427,0.144363,-5.65642e-07,0
0.04575,0.00101204,-1.06773e-08,0
0.0488,1.18233e-06,-3.11432e-11,0
0.05185,1.51568e-09,-8.06031e-13,0
0.0549,4.52501e-12,-3.11789e-13,0
0.05795,1.24039e-12,-1.02656e-12,0
0.061,4.60169e-13,-1.42768e-12,0
0.06405,-3.48258e-12,9.7064e-13,2.91558e-40
0.0671,-5.21806e-13,-2.87459e-13,2.81447e-40
0.07015,2.87208e-12,-5.70689e-13,0
0.0732,-1.79285e-12,-4.08927e-13,0
0.07625,-1.44331e-12,1.28165e-13,0
0.0793,2.60148e-12,6.59718e-13,0
0.08235,-4.70734e-12,4.76618e-13,0
0.0854,-7.2258e-13,1.64717e-12,0
0.08845,2.92791e-13,-1.73489e-12,0
0.0915,-6.02645e-12,-4.08547e-13,0
0.09455,1.231e-12,-7.89899e-13,0
0.0976,3.26618e-12,1.35207e-12,0
0.10065,3.00719e-12,-1.21456e-12,0
0.1037,6.86565e-13,6.06059e-14,0
0.10675,1.94059e-12,3.82663e-13,0
0.1098,2.59831e-12,1.79112e-15,0
0.11285,-1.96041e-12,2.14334e-12,0
0.1159,-2.85701e-13,1.37856e-13,0
0.11895,1.98227e-12,-1.07184e-12,0
0.122,3.07275e-12,-1.45243e-12,0
0.12505,1.51093e-13,-1.94307e-14,-8.93403e-41
0.1281,2.6252e-12,-1.32887e-12,-7.92295e-41
0.13115,2.88829e-12,-1.6882e-12,-6.91186e-41
0.1342,1.175e-12,-7.24168e-13,-5.90077e-41
0.13725,2.55904e-12,-1.31136e-12,0
0.1403,3.33499e-12,-1.39126e-12,0
0.14335,5.88482e-12,-1.58828e-12,0
0.1464,7.20364e-12,-2.64749e-12,0
0.14945,9.50509e-12,-3.8242e-12,0
0.152,1.02971e-11,-7.4065e-12,0
