x,p,T,maxKappa,minKappa
-0.152,68970,289,3.75905e-14,1.02965e-14
-0.14945,68970,289,2.29302e-13,6.28087e-14
-0.1464,68970,289,1.70995e-13,4.50919e-14
-0.14335,68970,289,1.53446e-13,4.46762e-14
-0.1403,68970,289,1.24021e-13,3.64581e-14
-0.13725,68970,289,1.41077e-13,2.65325e-14
-0.1342,68970,289,1.03072e-13,1.76982e-14
-0.13115,68970,289,1.29574e-13,1.11468e-14
-0.1281,68970,289,1.13803e-13,4.07937e-15
-0.12505,68970,289,1.12036e-13,1.41237e-14
-0.122,68970,289,1.8022e-13,4.22225e-14
-0.11895,68970,289,1.1917e-13,4.69478e-14
-0.1159,68970,289,1.25354e-13,3.89672e-14
-0.11285,68970,289,2.02305e-13,3.4242e-14
-0.1098,68970,289,1.48416e-13,2.26498e-14
-0.10675,68970,289,9.71773e-14,1.62283e-14
-0.1037,68970,289,1.45766e-13,1.2754e-14
-0.10065,68970,289,1.81103e-13,8.21808e-15
-0.0976,68970,289,1.37815e-13,4.50623e-15
-0.09455,68970,289,1.03703e-13,2.67999e-15
-0.0915,68970,289,1.29663e-13,1.78059e-14
-0.08845,68970,289,1.74377e-13,2.46543e-14
-0.0854,68970,289,1.40135e-13,1.17815e-14
-0.08235,68970,289,2.33759e-13,1.73011e-14
-0.0793,68970,289,6.31927e-12,1.94355e-14
-0.07625,68970,289,1.56925e-10,1.45766e-13
-0.0732,68970,289,3.87945e-09,2.40293e-13
-0.07015,68970,289,9.57619e-08,4.18039e-12
-0.0671,68970,289,2.35629e-06,8.78917e-11
-0.06405,68969.9,289,5.73193e-05,2.19176e-09
-0.061,68967.7,288.998,0.00131047,5.16073e-08
-0.05795,68926.2,288.961,0.0222033,9.65063e-07
-0.0549,68545.7,288.57,0.158538,8.98515e-06
-0.05185,67374.9,287.208,0.434682,3.10873e-05
-0.0488,65895.1,285.381,0.683084,5.1968e-05
-0.04575,64890.6,284.091,0.82056,5.22041e-05
-0.0427,64335.7,283.353,0.895188,3.7842e-05
-0.03965,64028.8,282.938,0.934074,2.03565e-05
-0.0366,63871.5,282.724,0.952597,7.07504e-06
-0.03355,63798.7,282.628,0.960576,1.82251e-06
-0.0305,63768.3,282.593,0.963598,6.49462e-07
-0.02745,63756.5,282.581,0.964534,3.2709e-06
-0.0244,63753,282.568,0.96485,7.69683e-06
-0.02135,63752.1,282.546,0.964962,1.24692e-05
-0.0183,63751.2,282.519,0.96492,1.43652e-05
-0.01525,63750.5,282.5,0.964923,1.38891e-05
-0.0122,63750.4,282.51,0.965081,1.40288e-05
-0.00915,63750.5,282.62,0.965192,7.02175e-06
-0.0061,63750.9,283.053,0.96511,1.07705e-06
-0.00305,63750.4,284.188,0.964354,2.12834e-06
-8.27181e-25,63749.1,286.31,0.961448,6.00628e-06
0.00305,63748.2,289.195,0.95482,1.19759e-05
0.0061,63748.4,292.051,0.944918,1.83582e-05
0.00915,63748.8,294.093,0.934856,1.36029e-05
0.0122,63748.2,295.127,0.927823,7.7506e-06
0.01525,63746.6,295.484,0.924406,8.39479e-06
0.0183,63745.5,295.562,0.923291,4.40052e-06
0.02135,63745.7,295.567,0.923053,1.28338e-06
0.0244,63746.6,295.552,0.9231,1.87285e-06
0.02745,63746.3,295.527,0.92328,1.89078e-06
0.0305,63743.8,295.504,0.923351,2.45542e-06
0.03355,63738.6,295.488,0.923031,8.05079e-06
0.0366,63724,295.469,0.921707,7.22945e-06
0.03965,63685.3,295.419,0.918043,6.90255e-06
0.0427,63590.5,295.284,0.908609,1.34004e-05
0.04575,63372.4,294.966,0.885698,2.25764e-05
0.0488,62900.8,294.286,0.832644,3.2724e-05
0.05185,61888.3,292.871,0.709731,2.96785e-05
0.0549,60364.5,290.782,0.443024,1.51568e-05
0.05795,59274.1,289.346,0.146071,3.85368e-06
0.061,58993.7,289.024,0.0156306,3.48391e-07
0.06405,58971.1,289.001,0.000745006,1.6096e-08
0.0671,58970.1,289,2.89073e-05,6.32927e-10
0.07015,58970,289,1.08312e-06,2.48773e-11
0.0732,58970,289,4.03491e-08,1.60875e-12
0.07625,58970,289,1.5007e-09,2.41261e-13
0.0793,58970,289,5.58027e-11,4.97106e-14
0.08235,58970,289,1.95354e-12,5.51654e-14
0.0854,58970,289,1.12106e-13,2.16263e-14
0.08845,58970,289,9.60912e-14,1.35471e-14
0.0915,58970,289,1.0539e-13,1.862e-14
0.09455,58970,289,1.24505e-13,1.30826e-14
0.0976,58970,289,1.34838e-13,7.1046e-15
0.10065,58970,289,1.10557e-13,9.50753e-15
0.1037,58970,289,1.12623e-13,1.73545e-14
0.10675,58970,289,1.58086e-13,1.65535e-14
0.1098,58970,289,1.81334e-13,1.09467e-14
0.11285,58970,289,1.69451e-13,1.38836e-14
0.1159,58970,289,1.63768e-13,1.36166e-14
0.11895,58970,289,1.61702e-13,1.17477e-14
0.122,58970,289,1.55502e-13,8.54375e-15
0.12505,58970,289,1.23988e-13,5.33984e-15
0.1281,58970,289,1.32255e-13,1.38836e-14
0.13115,58970,289,1.19029e-13,2.25793e-14
0.1342,58970,289,8.95813e-14,2.47153e-14
0.13725,58970,289,1.21406e-13,1.97574e-14
0.1403,58970,289,1.48786e-13,1.14806e-14
0.14335,58970,289,2.85174e-13,1.01457e-14
0.1464,58970,289,3.14621e-13,1.01457e-14
0.14945,58970,289,3.63183e-13,2.08254e-14
0.152,58970,289,5.95382e-14,3.41399e-15
