x,U_0,U_1,U_2
-0.152,3.25322e-08,-5.96867e-10,0
-0.14945,1.06074e-07,-6.21977e-10,0
-0.1464,2.78739e-07,-7.44062e-10,0
-0.14335,4.79305e-07,-1.00502e-09,0
-0.1403,7.64193e-07,-1.44433e-09,0
-0.13725,1.18498e-06,-2.07984e-09,0
-0.1342,1.81559e-06,-3.11049e-09,0
-0.13115,2.76693e-06,-4.85089e-09,0
-0.1281,4.20585e-06,-7.63132e-09,0
-0.12505,6.38496e-06,-1.20476e-08,0
-0.122,9.69709e-06,-1.9062e-08,0
-0.11895,1.45868e-05,-2.99765e-08,0
-0.1159,2.20053e-05,-5.15823e-08,0
-0.11285,3.38144e-05,-7.25483e-08,4.38995e-37
-0.1098,5.11614e-05,-1.08187e-07,4.3394e-37
-0.10675,7.65454e-05,-1.68529e-07,0
-0.1037,0.000116006,-2.64604e-07,0
-0.10065,0.000175791,-4.29452e-07,0
-0.0976,0.000265555,-6.84264e-07,0
-0.09455,0.000397561,-1.07466e-06,0
-0.0915,0.000596468,-1.8136e-06,0
-0.08845,0.00091111,-2.54519e-06,0
-0.0854,0.00137317,-3.86073e-06,0
-0.08235,0.00204685,-6.18036e-06,0
-0.0793,0.00308312,-9.804e-06,0
-0.07625,0.00464054,-1.60671e-05,0
-0.0732,0.00695349,-2.62599e-05,0
-0.07015,0.0104121,-4.30028e-05,0
-0.0671,0.0155757,-7.11287e-05,0
-0.06405,0.0231514,-0.000109276,0
-0.061,0.0342145,-0.000118109,0
-0.05795,0.05124,-0.000204658,-6.52074e-37
-0.0549,0.0765124,-0.000371027,-6.57129e-37
-0.05185,0.112083,-0.000556885,0
-0.0488,0.164728,-0.000626935,0
-0.04575,0.244186,-0.000454843,0
-0.0427,0.355787,-0.000479228,1.21777e-35
-0.03965,0.512856,-0.000594823,1.21828e-35
-0.0366,0.751186,-0.000341115,0
-0.03355,1.0855,-0.000494313,-2.69387e-36
-0.0305,1.5377,-0.000229024,-2.6989e-36
-0.02745,2.20651,-0.000395765,0
-0.0244,3.16729,-0.000744855,0
-0.02135,4.46587,-0.00130857,-4.78267e-36
-0.0183,6.2031,-0.00355148,-4.7777e-36
-0.01525,8.54059,-0.00693844,0
-0.0122,11.4977,-0.0105798,0
-0.00915,14.7919,-0.0155295,0
-0.0061,18.7765,-0.0134821,0
-0.00305,18.5324,-0.0226347,0
-8.27181e-25,16.6431,-0.0378498,0
0.00305,18.7503,-0.029292,0
0.0061,19.2877,-0.0501474,0
0.00915,16.5412,-0.0290255,0
0.0122,12.9997,0.0378556,0
0.01525,9.80167,0.0438977,3.76633e-34
0.0183,7.23435,0.0290143,4.57998e-34
0.02135,5.35322,0.0109588,8.13602e-35
0.0244,3.9121,0.00034187,0
0.02745,2.78507,0.0065966,1.36459e-35
0.0305,1.94232,0.00788797,1.36485e-35
0.03355,1.3498,0.00546829,0
0.0366,0.940785,0.00548482,0
0.03965,0.653694,0.00372737,0
0.0427,0.448772,0.00231181,0
0.04575,0.304593,0.00200966,0
0.0488,0.206278,0.00120066,0
0.05185,0.140071,0.000861222,0
0.0549,0.0954681,0.000628639,0
0.05795,0.0646455,0.000367755,0
0.061,0.04333,0.000318164,0
0.06405,0.0289461,0.000180854,3.22895e-37
0.0671,0.019391,0.000115044,3.20367e-37
0.07015,0.0130851,8.78425e-05,0
0.0732,0.00878307,4.82302e-05,0
0.07625,0.00582863,3.96777e-05,0
0.0793,0.00387708,2.3346e-05,0
0.08235,0.00258789,1.66954e-05,0
0.0854,0.00172335,9.29429e-06,0
0.08845,0.00114749,4.1315e-06,0
0.0915,0.000763141,4.90406e-06,0
0.09455,0.000507331,3.05493e-06,0
0.0976,0.000336986,2.20475e-06,0
0.10065,0.000223376,1.20067e-06,0
0.1037,0.000148361,4.74799e-07,0
0.10675,9.83624e-05,6.02913e-07,0
0.1098,6.5145e-05,3.66033e-07,0
0.11285,4.31423e-05,2.65786e-07,0
0.1159,2.85087e-05,1.44345e-07,0
0.11895,1.89076e-05,4.7558e-08,0
0.122,1.2521e-05,7.20452e-08,0
0.12505,8.22344e-06,4.40548e-08,-2.23351e-38
0.1281,5.41825e-06,2.50353e-08,-1.98074e-38
0.13115,3.59477e-06,1.27809e-08,-1.72796e-38
0.1342,2.37404e-06,5.25602e-09,-1.47519e-38
0.13725,1.54162e-06,8.92681e-09,0
0.1403,9.88393e-07,4.12596e-09,0
0.14335,6.22454e-07,1.98171e-09,0
0.1464,3.64159e-07,1.0629e-09,0
0.14945,1.39168e-07,1.71832e-10,0
0.152,4.27682e-08,4.12233e-10,0
