x,p,T,maxKappa,minKappa
-0.152,68970,289,7.01661e-11,4.41993e-13
-0.14945,68970,289,4.28013e-10,2.69616e-12
-0.1464,68970,289,7.96643e-10,3.00758e-12
-0.14335,68970,289,1.30538e-09,3.4742e-12
-0.1403,68970,289,2.04539e-09,4.14804e-12
-0.13725,68970,289,3.14759e-09,5.30414e-12
-0.1342,68970,289,4.80599e-09,8.68374e-12
-0.13115,68970,289,7.31163e-09,1.58115e-11
-0.1281,68970,289,1.1103e-08,2.81808e-11
-0.12505,68970,289,1.68423e-08,4.96835e-11
-0.122,68970,289,2.55304e-08,7.97519e-11
-0.11895,68970,289,3.86748e-08,1.16276e-10
-0.1159,68970,289,5.83446e-08,1.40294e-10
-0.11285,68970,289,8.81467e-08,2.21839e-10
-0.1098,68970,289,1.33777e-07,3.9916e-10
-0.10675,68970,289,2.02485e-07,5.87546e-10
-0.1037,68970,289,3.05718e-07,1.05557e-09
-0.10065,68970,289,4.61502e-07,1.85559e-09
-0.0976,68969.9,289,6.96322e-07,2.83355e-09
-0.09455,68969.9,289,1.04965e-06,4.06189e-09
-0.0915,68969.9,289,1.57493e-06,4.18807e-09
-0.08845,68969.8,289,2.36622e-06,8.04357e-09
-0.0854,68969.6,289,3.5754e-06,1.9315e-08
-0.08235,68969.5,289,5.38472e-06,2.88554e-08
-0.0793,68969.2,289,8.07865e-06,4.4424e-08
-0.07625,68968.9,289,1.21106e-05,7.46199e-08
-0.0732,68968.3,289,1.81331e-05,1.20213e-07
-0.07015,68967.5,289,2.71093e-05,1.94425e-07
-0.0671,68966.2,289,4.04589e-05,3.20157e-07
-0.06405,68964.4,289,6.02444e-05,4.49106e-07
-0.061,68961.7,289,8.9284e-05,3.17839e-07
-0.05795,68957.6,288.999,0.000132002,9.29209e-07
-0.0549,68951.5,288.999,0.000195997,2.26394e-06
-0.05185,68942.7,288.998,0.000290003,2.83323e-06
-0.0488,68930,288.996,0.000425122,3.15004e-06
-0.04575,68911.2,288.994,0.000621707,1.90442e-06
-0.0427,68883.6,288.99,0.000909274,7.5973e-06
-0.03965,68844.8,288.984,0.00131431,9.53268e-06
-0.0366,68788.5,288.975,0.00189066,6.1731e-06
-0.03355,68705.9,288.962,0.00273206,6.46076e-06
-0.0305,68592.6,288.938,0.00388969,2.41367e-05
-0.02745,68433.3,288.903,0.00547938,2.63481e-05
-0.0244,68202.3,288.853,0.0077549,3.53759e-05
-0.02135,67889.9,288.763,0.0108567,4.34559e-05
-0.0183,67480.3,288.605,0.0148586,2.10953e-05
-0.01525,66943.7,288.349,0.0198795,2.78213e-05
-0.0122,66266.2,287.933,0.0258585,2.84171e-05
-0.00915,65478,287.257,0.0322208,3.29003e-05
-0.0061,64689.2,286.295,0.0374952,6.56665e-05
-0.00305,63959.9,284.724,0.0398969,0.000101316
-8.27181e-25,63704.2,288.056,0.0401843,8.37069e-05
0.00305,63644.8,292.528,0.0401096,5.66671e-05
0.0061,63186.8,291.997,0.0384853,5.02367e-05
0.00915,62499.2,290.904,0.0339765,0.000255958
0.0122,61732.8,290.203,0.0278279,0.000287676
0.01525,61040.9,289.793,0.0218254,0.000221888
0.0183,60493.4,289.529,0.0167802,0.000193805
0.02135,60088.2,289.337,0.0127422,0.000114141
0.0244,59781.3,289.202,0.00941737,0.000134914
0.02745,59543.9,289.127,0.00674962,7.03221e-05
0.0305,59370.6,289.083,0.00478163,6.44496e-05
0.03355,59249,289.054,0.00338117,6.08423e-05
0.0366,59164.5,289.033,0.00238036,3.59902e-05
0.03965,59104.8,289.02,0.00165414,1.82311e-05
0.0427,59062.3,289.012,0.00113447,1.31075e-05
0.04575,59032.8,289.008,0.000775368,1.35667e-05
0.0488,59012.6,289.005,0.000530302,8.85125e-06
0.05185,58999,289.003,0.000362753,3.79878e-06
0.0549,58989.7,289.002,0.000246468,2.47587e-06
0.05795,58983.3,289.001,0.000166074,1.28277e-06
0.061,58978.9,289.001,0.000111735,1.99374e-06
0.06405,58976,289,7.5272e-05,1.05469e-06
0.0671,58974,289,5.07736e-05,4.59376e-07
0.07015,58972.7,289,3.40917e-05,3.61236e-07
0.0732,58971.8,289,2.27557e-05,1.42038e-07
0.07625,58971.2,289,1.51861e-05,1.99158e-07
0.0793,58970.8,289,1.0143e-05,1.01919e-07
0.08235,58970.5,289,6.7671e-06,9.90931e-08
0.0854,58970.3,289,4.51013e-06,7.22984e-08
0.08845,58970.3,289,3.00414e-06,2.566e-08
0.0915,58970.2,289,1.99934e-06,2.21326e-08
0.09455,58970.1,289,1.32961e-06,1.33242e-08
0.0976,58970.1,289,8.83242e-07,1.17055e-08
0.10065,58970.1,289,5.86788e-07,8.46241e-09
0.1037,58970,289,3.89493e-07,2.8225e-09
0.10675,58970,289,2.58217e-07,2.70267e-09
0.1098,58970,289,1.71178e-07,1.56013e-09
0.11285,58970,289,1.13378e-07,1.36943e-09
0.1159,58970,289,7.50966e-08,1.091e-09
0.11895,58970,289,4.96929e-08,4.00647e-10
0.122,58970,289,3.28338e-08,3.47378e-10
0.12505,58970,289,2.17151e-08,2.12501e-10
0.1281,58970,289,1.43735e-08,1.63746e-10
0.13115,58970,289,9.47756e-09,1.36659e-10
0.1342,58970,289,6.22313e-09,6.75811e-11
0.13725,58970,289,4.07682e-09,4.6438e-11
0.1403,58970,289,2.65804e-09,2.48555e-11
0.14335,58970,289,1.7008e-09,1.28066e-11
0.1464,58970,289,1.03843e-09,1.20642e-11
0.14945,58970,289,5.57632e-10,4.74208e-12
0.152,58970,289,9.14152e-11,7.77389e-13
