x,p,T
-0.98,301125,496.36
-0.94,299400,495.986
-0.9,298589,495.606
-0.86,298058,495.181
-0.82,297328,494.679
-0.78,296540,494.137
-0.74,295688,493.569
-0.7,294736,492.983
-0.66,293678,492.384
-0.62,292500,491.771
-0.58,291181,491.131
-0.54,289696,490.449
-0.5,288015,489.702
-0.46,286100,488.863
-0.42,283903,487.902
-0.38,281361,486.779
-0.34,278391,485.444
-0.3,274881,483.831
-0.26,270673,481.849
-0.22,265536,479.362
-0.18,259115,476.162
-0.14,250816,471.896
-0.1,239530,465.888
-0.06,222869,456.567
-0.02,195152,439.046
0.02,139133,398.956
0.06,102129,364.751
0.1,82758.4,343.39
0.14,70631.2,328.209
0.18,61783.8,315.919
0.22,54866.2,305.4
0.26,49263.7,296.16
0.3,44618.3,287.905
0.34,40712.2,280.481
0.38,37330.6,273.605
0.42,34614.3,267.798
0.46,30953.7,259.382
0.5,31241.2,260.109
0.54,98434.5,411.84
0.58,150702,468.271
0.62,154618,468.839
0.66,157033,468.001
0.7,159858,467.971
0.74,162070,468.442
0.78,164278,469.551
0.82,166608,471.183
0.86,168638,473.342
0.9,169863,476.367
0.94,171380,480.529
0.98,171244,485.525
