x,U_0,U_1,U_2
-0.98,89.6245,-0.00428547,0
-0.94,93.2149,-0.0042852,0
-0.9,96.1066,-0.00428656,0
-0.86,98.9147,-0.00428737,-9.91967e-15
-0.82,102.123,-0.0042805,-1.0174e-14
-0.78,105.513,-0.00428212,-1.05105e-14
-0.74,109.122,-0.00430629,0
-0.7,113.009,-0.00427624,0
-0.66,117.193,-0.00424253,-1.15592e-14
-0.62,121.713,-0.0043533,-1.19575e-14
-0.58,126.613,-0.00429408,0
-0.54,131.947,-0.00415084,-1.28398e-14
-0.5,137.778,-0.00445544,0
-0.46,144.186,-0.00425498,0
-0.42,151.266,-0.00407895,-1.44251e-14
-0.38,159.141,-0.00463975,0
-0.34,167.969,-0.00393292,-1.57025e-14
-0.3,177.957,-0.00449605,0
-0.26,189.388,-0.00459593,0
-0.22,202.663,-0.00450129,0
-0.18,218.386,0.00189793,0
-0.14,237.552,0.00408954,0
-0.1,261.995,-0.141391,0
-0.06,295.775,0.100913,0
-0.02,350.495,1.53861,0
0.02,451.331,-4.7386,0
0.06,522.268,-3.06495,0
0.1,562.841,7.18495,0
0.14,588.275,3.55949,0
0.18,609.2,1.55059,0
0.22,626.508,-0.784699,0
0.26,641.871,-4.95379,0
0.3,653.994,-2.8735,0
0.34,665.599,-2.08321,9.29246e-15
0.38,676.092,-0.00667527,0
0.42,684.835,3.06232,7.9207e-15
0.46,697.354,2.34874,0
0.5,696.496,1.51793,0
0.54,433.121,-6.80507,9.90552e-15
0.58,235.618,19.0036,0
0.62,218.265,-4.84484,1.21175e-14
0.66,207.192,-10.6871,1.13838e-14
0.7,197.682,-7.20163,0
0.74,190.374,1.11301,0
0.78,181.706,6.17238,1.02147e-14
0.82,173.835,4.84907,0
0.86,168.192,-0.0157237,9.60055e-15
0.9,162.497,-3.03014,0
0.94,158.267,-1.06094,0
0.98,150.39,-0.244088,0
