x,U_0,U_1,U_2
-0.98,0,0,0
-0.94,0,0,0
-0.9,0,0,0
-0.86,0,0,0
-0.82,0,0,0
-0.78,0,0,0
-0.74,0,0,0
-0.7,0,0,0
-0.66,0,0,0
-0.62,0,0,0
-0.58,0,0,0
-0.54,0,0,0
-0.5,0,0,0
-0.46,0,0,0
-0.42,0,0,0
-0.38,0,0,0
-0.34,0,0,0
-0.3,0,0,0
-0.26,0,0,0
-0.22,0,0,0
-0.18,0,0,0
-0.14,0,0,0
-0.1,0,0,0
-0.06,0,0,0
-0.02,0,0,0
0.02,0,0,0
0.06,0,0,0
0.1,0,0,0
0.14,0,0,0
0.18,0,0,0
0.22,0,0,0
0.26,0,0,0
0.3,0,0,0
0.34,0,0,0
0.38,0,0,0
0.42,0,0,0
0.46,0,0,0
0.5,0,0,0
0.54,0,0,0
0.58,0,0,0
0.62,0,0,0
0.66,0,0,0
0.7,0,0,0
0.74,0,0,0
0.78,0,0,0
0.82,0,0,0
0.86,0,0,0
0.9,0,0,0
0.94,0,0,0
0.98,0,0,0
