x,p,T
-0.98,175000,496.132
-0.94,175000,496.132
-0.9,175000,496.132
-0.86,175000,496.132
-0.82,175000,496.132
-0.78,175000,496.132
-0.74,175000,496.132
-0.7,175000,496.132
-0.66,175000,496.132
-0.62,175000,496.132
-0.58,175000,496.132
-0.54,175000,496.132
-0.5,175000,496.132
-0.46,175000,496.132
-0.42,175000,496.132
-0.38,175000,496.132
-0.34,175000,496.132
-0.3,175000,496.132
-0.26,175000,496.132
-0.22,175000,496.132
-0.18,175000,496.132
-0.14,175000,496.132
-0.1,175000,496.132
-0.06,175000,496.132
-0.02,175000,496.132
0.02,175000,496.132
0.06,175000,496.132
0.1,175000,496.132
0.14,175000,496.132
0.18,175000,496.132
0.22,175000,496.132
0.26,175000,496.132
0.3,175000,496.132
0.34,175000,496.132
0.38,175000,496.132
0.42,175000,496.132
0.46,175000,496.132
0.5,175000,496.132
0.54,175000,496.132
0.58,175000,496.132
0.62,175000,496.132
0.66,175000,496.132
0.7,175000,496.132
0.74,175000,496.132
0.78,175000,496.132
0.82,175000,496.132
0.86,175000,496.132
0.9,175000,496.132
0.94,175000,496.132
0.98,175000,496.132
